module	metric	value
charge	retained_path	platform\service\callback_mgr\cb_charge.c
charge	linked_functions	5
charge	ghidra_discovered_functions	2
charge	additional_recovered_functions	3
charge	path_anchored_functions	2
charge	body_bytes	190
charge	body_concat_sha256	c5a5970f443c148f7fe7c51aa66676325a6978974f8bd196cc65f44f7c67d65a
charge	physical_interval	[0x004AEA40,0x004AEB20)
charge	physical_bytes	224
charge	physical_sha256	bdaa0638fc92b8cb84fc8853137538fa9b0a486af7167fa285fc54f2253a1189
charge	outer_pool_bytes	34
charge	outer_pool_concat_sha256	4dd99a216ee516fc862a6ae7a2d5f42ec3dabbe1e473bd4753736517a76fe6e9
charge	direct_bl_entry_sites	7
charge	direct_bl_entry_digest	36e06e5d81f03934a7df887aaace72793cd5c104d7d1708fc788e936336d26de
charge	direct_body_calls	15
charge	direct_body_call_digest	de5e4955b6ae5c474d3c966d4fd2093a77769df614f943e495faf2496a5e30a0
charge	indirect_body_calls	0
charge	stored_entry_pointers	0
charge	third_party_dependency	EasyLogger diagnostics only
charge	private_producing_commit_observable	false
charge	production_routed	false
msg_notif	retained_path	platform\service\callback_mgr\cb_msg_notif.c
msg_notif	linked_functions	5
msg_notif	ghidra_discovered_functions	2
msg_notif	additional_recovered_functions	3
msg_notif	path_anchored_functions	2
msg_notif	body_bytes	190
msg_notif	body_concat_sha256	9da6e9e819095403295e77b9fa356fb3e6469a655a183314c104ceaf78f1c3e5
msg_notif	physical_interval	[0x004E1A48,0x004E1B28)
msg_notif	physical_bytes	224
msg_notif	physical_sha256	6f2d7ba1abfd285b34ef101c857ba0687eca83a1e18a580bcd0bc2060383ab77
msg_notif	outer_pool_bytes	34
msg_notif	outer_pool_concat_sha256	46055b78c37ca551168e825606c6756372720c76b6e8f9b7311f0cc97bf131fe
msg_notif	direct_bl_entry_sites	7
msg_notif	direct_bl_entry_digest	1e38353110532d72368150abf4b3dccf18e4e1401070a9e7bbe79815335467a9
msg_notif	direct_body_calls	15
msg_notif	direct_body_call_digest	60f8b93ade1bdec2e0c50cc660b651bb5a13a66e0b58f615dd1c85be7935ce5e
msg_notif	indirect_body_calls	0
msg_notif	stored_entry_pointers	0
msg_notif	third_party_dependency	EasyLogger diagnostics only
msg_notif	private_producing_commit_observable	false
msg_notif	production_routed	false
