module	recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	entry_evidence	qualification
charge	1	CB_CHG_InitBatInfoCallbacks	semantic source-order label	0x004AEA40	0x004AEA4C	12	cac0bc3bd3049cadf090cc8f9b13d32d186ee43e4615d7d758c0d72b1a677241	no	BL at 0x004AD066	initializes callback list 0x20073F78 with retained type BAT_INFO
charge	2	CB_CHG_DeinitBatInfoCallbacks	semantic source-order label	0x004AEA4C	0x004AEA56	10	587ca7b2bb8dbff9c1417e25e25abda4fd7eaf0ea04fc1dedf43182e3871d2d2	no	BL at 0x004AD0C4	deinitializes callback list 0x20073F78
charge	3	CB_CHG_RegisterBatInfoCallback	exact retained diagnostic symbol	0x004AEA56	0x004AEAA4	78	4e4596a22869a42e660139545dab130826629f613166c7eac9789c437399fb05	yes	BL at 0x0046BE5A,0x0049E730	rejects null and otherwise registers through the generic callback manager
charge	4	CB_CHG_UnregisterBatInfoCallback	exact retained diagnostic symbol	0x004AEAA4	0x004AEAF0	76	d07b5308950832660db58779aea94c9dedf7e100a5e712259dd35a40de8bfbe6	yes	BL at 0x0049E9E0	rejects null and otherwise unregisters through the generic callback manager
charge	5	CB_CHG_NotifyBatInfo	semantic behavior label	0x004AEAF0	0x004AEAFE	14	7b6a782be11e15683000660f6cde5b9cd12376a5fffb78a3e63f36562a1ebda4	no	BL at 0x004AD292,0x004AD454	dispatches an event key and in/out value word through list 0x20073F78
msg_notif	1	CB_ANCC_InitMsgCountCallbacks	semantic source-order label	0x004E1A48	0x004E1A54	12	6df351807638262c8e1e791fee57ee58862cb3217fad01c47e238274be6501c9	no	BL at 0x00497398	initializes callback list 0x20073F84 with retained type MSG_COUNT
msg_notif	2	CB_ANCC_DeinitMsgCountCallbacks	semantic source-order label	0x004E1A54	0x004E1A5E	10	d207c2e5c259a87d77f25ad93b290ca212dd452f30b8d91596bba4bb09701931	no	BL at 0x004973EE	deinitializes callback list 0x20073F84
msg_notif	3	CB_ANCC_RegisterMsgCountCallback	exact retained diagnostic symbol	0x004E1A5E	0x004E1AAC	78	158269b7189c868bec36cf773d68a23d0b637be8f4b12be6d8dfe95c8e61fdbb	yes	BL at 0x0049E728	rejects null and otherwise registers through the generic callback manager
msg_notif	4	CB_ANCC_UnregisterMsgCountCallback	exact retained diagnostic symbol	0x004E1AAC	0x004E1AF8	76	2f27b87eefd6aa475fec0c44c19c96187d4ff46feb21019912be17ad4ed9a1e5	yes	BL at 0x0049E9DA	rejects null and otherwise unregisters through the generic callback manager
msg_notif	5	CB_ANCC_NotifyMsgCount	semantic behavior label	0x004E1AF8	0x004E1B06	14	bac4a9afba5efbff6c0edf639647869d8296d2b1664ca83e1cb1835fa5af724d	no	five BL sites in ANCC/message policy	dispatches an event key and in/out value word through list 0x20073F84
