metric	value
retained_path	platform\service\callback_mgr\callback_manager.c
linked_functions	8
ghidra_discovered_functions	7
additional_recovered_functions	1
path_anchored_functions	4
body_bytes	1240
body_concat_sha256	bc98a1f63adf8a2b7e0e2b1b29832249fb51a4d8d8a04a7eb2e0bd4ad940d3aa
physical_interval	[0x005100A0,0x005105F0)
physical_bytes	1360
physical_sha256	1def5576e2fd57223ea0f79417044c1a96ceac4f05ced61ba4421abb97269ea9
noncode_regions	2
noncode_bytes	120
noncode_concat_sha256	c8fcd0c702f68165ac2008125b3c150f1327e7a7bf32e1f9d1280980b6e7c5e3
direct_bl_entry_sites	23
direct_bl_entry_digest	56c930a3fff5147b646ccc635ca46e9eddf34f148623bcefd09d6d2ac11a1179
stored_entry_pointers	0
direct_body_calls	76
internal_direct_body_calls	4
external_direct_body_calls	72
direct_body_call_digest	5751635024d1cb80dab535cd742d31e810a8f59df8633e21e811ff3af97a11b7
indirect_body_calls	1
bounded_indirect_call_sites	1
unrecovered_direct_object_targets	0
third_party_dependency	EasyLogger plus TLSF behind production-source-owned synchronized allocation wrappers
historical_source_available	false
public_source_fingerprint_match	false
private_producing_commit_observable	false
production_routed	false
production_source	components/apollo_main/core_overlay/callback_manager.c
production_source_functions	8
compiled_text_bytes	408
generated_alignment_bytes	14
strict_relocations	6
stock_function_bytes_replaced	1240
retained_diagnostic_pool_bytes	118
diagnostic_policy	Stock EasyLogger observability omitted; callback-list functionality preserved
software_functional_gap	false
hardware_validation	not-applicable; pure in-memory callback-list semantics covered by host and target-build tests
