# SPDX-License-Identifier: MIT
entry	size	name	instruction_sha256	classification	owner_or_contract	license	missing_fact_or_reason
0x08000270	36	FUN_08000270	9955b05104c79c9ded13dc2a3dc50e421d6f490ef736c15c954a874b8edfcc7b	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08000294	32	FUN_08000294	903f3bc68dbe13c349444a3c1d639bbe2bed70e5ad42f57412ec952fb03339cd	project_source_candidate_not_routed	components/shared/case/runtime_case_pure_helpers.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080002B4	34	FUN_080002b4	a17868e5884e24c692e1c7b94176c1c1d7ef68c802de5a7af36026a9f1eff4dd	project_source_candidate_not_routed	components/shared/case/runtime_case_pure_helpers.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080002D6	58	FUN_080002d6	69fe36d77bb8c738e666160d85769990680fe1f0522b7fda0e3f31bd81b02dca	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08000310	268	FUN_08000310	f32433fb67dcb5d830d633b3ba6795b91119d07458bae815270ea909cd596d8b	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080004C0	168	FUN_080004c0	afac8417e62c80722cf3f2b317b579f402c05e6e5ccc47110ae6ea08eda53484	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08000610	174	FUN_08000610	4edcb69facf78728167aafc9f3b6061061110a1c0c935f81d7c11b303eae1bc7	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080006C4	10	FUN_080006c4	9e4bbf68eeea3e149e8cb97bda79dad3dbe5c7aa9d363be5bb536ad28074e4c1	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080006D4	92	FUN_080006d4	0cece80f6b94f0348d7eeb80f5d3ad07ad1ccdbb52e53beed45718864b22b8bb	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x08000734	110	FUN_08000734	486650b539c8d304e71cb705c085c38cfe87d527bee0edebde56785b9d26c762	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
0x080007A8	162	FUN_080007a8	e80a57f4551a88af7841b023e2bb5f9ffee5c36ee4fefc860327bb999849dc31	project_source_candidate_not_routed	components/shared/case/runtime_case_semantic_leaves.c	MIT	authenticated clean-room source and Cortex-M0+ closure exist; platform routing remains intentionally absent
