# SPDX-License-Identifier: MIT
start	end_exclusive	bytes	content_sha256	classification	missing_fact_or_reason
0x080000C4	0x080000CC	8	53509fecea0d6f07ef505ad899ac2bf545177e7a8401bed35b4ed07ae24e53ec	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080000EE	0x080000F4	6	e04f48cc31e8517cafb3e852197705ed89c34f17872d978b14548b3c8751f569	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08000140	0x08000144	4	8b21c33cfee0449829e17428cb4b9f354e5960933c8bbf20c0fd17611ca5e882	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x0800014C	0x08000156	10	3a16164dbfef1632bb3755e7e12099a6f36b620a53b9d460eea90c3787ddb26f	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08000158	0x08000160	8	d1dd59c8b0435e511dbb2d0ed1b3064408025ca2374e1f113c80a56c2ccbd4b8	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x0800041C	0x08000420	4	00a3747c927edd7b387da1f544c3d6c56dfd9f53698563327a5e028dc5e715e1	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080004BA	0x080004C0	6	cca61624c48cf85fc5e4d57390fe201e5b9c1805cecccaf4292c980af849a5bb	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08000568	0x0800056C	4	00a3747c927edd7b387da1f544c3d6c56dfd9f53698563327a5e028dc5e715e1	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x0800060A	0x08000610	6	cca61624c48cf85fc5e4d57390fe201e5b9c1805cecccaf4292c980af849a5bb	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080006BE	0x080006C4	6	501ff433d3d13c822834424ef0c190b632dec8a2f83bf6e662a7a384cc7bd95d	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080006CE	0x080006D4	6	cbcd3b5abd668a9c85cb85beaaf7b1a051e6f1cc95f3238f6c352a202516ec6d	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x08000730	0x08000734	4	e551b4f5f864aa7294793a6b9876c1da8a7159d7fcad48e5c8ac91df2183af35	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x080007A2	0x080007A8	6	665b493e41811f10bed213bbe3cc93cd95dfb1b79d11b8ffed74b5f759532e6e	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
0x0800084A	0x0800085C	18	7f8284490d7d67b32bc15ad5af4fbcfeb56ca04b5f7c943444bc24690d6ada7e	typed_unsupported_interfunction_code_or_data_boundary	the authenticated Ghidra map proves this span is outside every discovered body, but no relocation/xref or independent entry proves literal-data versus unreachable/undiscovered code
