# SPDX-License-Identifier: MIT
entry	size	instruction_sha256	symbol	contract	status	license	source	mmio_execution	destructive_operation
0x08003EA8	18	e0a2fefd7f2126873ac445909d136138f2bebc0021b012427305c48f9657b673	open_cfw_case_flash_status_classify	low-byte 0xAA/0xCC acceptance, otherwise 0xBB	clean_room_compilable_c_candidate	MIT	components/shared/case/runtime_case_register_primitives.c	false	false
0x08003EC0	10	aa05e4fdd78fcb7adc2ab80a2034cc34e1af95280fe398b5b77e25bf725d3191	open_cfw_case_flash_status_masked	status word 8 masked by 0x077F6000	clean_room_compilable_c_candidate	MIT	components/shared/case/runtime_case_register_primitives.c	false	false
0x08004328	6	a2a14b78d9dbf21beecef82b0c28833fe79269c2c9c6a03579e4ce397d9b7506	open_cfw_case_handle_word16	indirect handle word 16 read	clean_room_compilable_c_candidate	MIT	components/shared/case/runtime_case_register_primitives.c	false	false
0x08004E94	10	5dec2b510091957cd310155535f989998e09b1bda69697f9ddacdea44fbd9024	open_cfw_case_register_any_bits	word 4 masked nonzero predicate	clean_room_compilable_c_candidate	MIT	components/shared/case/runtime_case_register_primitives.c	false	false
0x08004E9E	12	249cd8559567dea2085da166fd295e516469beb26a4114fee4bd90a65f3b5cad	open_cfw_case_register_write_channel	selector chooses word 6 or word 10 write	clean_room_compilable_c_candidate	MIT	components/shared/case/runtime_case_register_primitives.c	false	false
0x08004EAC	6	f9e9ed7deab97ba770020418c839a3824257d2e29c2f736e873b7a50a3efaeb8	open_cfw_case_tick_word2	global timing-state word 2 read	clean_room_compilable_c_candidate	MIT	components/shared/case/runtime_case_register_primitives.c	false	false
0x08004EB8	6	895117144ca352baa99d948bb32fc9b248631e995c4d281cb77b6ddb3e9ce023	open_cfw_case_device_info_word4	device-information word 4 read	clean_room_compilable_c_candidate	MIT	components/shared/case/runtime_case_register_primitives.c	false	false
0x08004EC4	6	2eff6063dea135fb41d902919548885c3ba486df44d32f50edfd77f765a2b127	open_cfw_case_device_info_word5	device-information word 5 read	clean_room_compilable_c_candidate	MIT	components/shared/case/runtime_case_register_primitives.c	false	false
0x08004ED0	6	0894173b4e7a6a728281b8d682734935f48057b84f831256ceb9fd35c9a13825	open_cfw_case_device_info_word6	device-information word 6 read	clean_room_compilable_c_candidate	MIT	components/shared/case/runtime_case_register_primitives.c	false	false
0x0800677A	8	a08d5225eca642a91a63cb3e0c488eed61dadd7d3db68a3ae0efcf3a931dd180	open_cfw_case_status_word2_bit0	status word 2 bit 0 read	clean_room_compilable_c_candidate	MIT	components/shared/case/runtime_case_register_primitives.c	false	false
0x08006782	8	a08d5225eca642a91a63cb3e0c488eed61dadd7d3db68a3ae0efcf3a931dd180	open_cfw_case_status_word2_bit0_alias	second status word 2 bit 0 entry	clean_room_compilable_c_candidate	MIT	components/shared/case/runtime_case_register_primitives.c	false	false
0x0800678A	8	f26fb9fd9d7e8a79514fe21f4732e5ef0437ea869d21a52e7a48f3bc1fa83cb6	open_cfw_case_status_word2_bit2	status word 2 bit 2 read	clean_room_compilable_c_candidate	MIT	components/shared/case/runtime_case_register_primitives.c	false	false
0x08006792	16	619b07e7428ce83e04b1676d11703951ad12ffad58ad8bf8018d5f089236d5db	open_cfw_case_status_word3_field10_clear	status word 3 bits 10..11 clear predicate	clean_room_compilable_c_candidate	MIT	components/shared/case/runtime_case_register_primitives.c	false	false
