metric	value
retained_path	platform\service\callback_mgr\cb_ble_status.c
linked_functions	3
ghidra_discovered_functions	3
additional_recovered_functions	0
path_anchored_functions	2
body_bytes	168
body_concat_sha256	6576af9b125fa95782ddc3f87c937dc89f933eedd364e2416a2abb9473a42b0f
reachable_instruction_bytes	168
reachable_instruction_sha256	6576af9b125fa95782ddc3f87c937dc89f933eedd364e2416a2abb9473a42b0f
physical_interval	[0x004ABCC6,0x004ABD90)
physical_bytes	202
physical_sha256	327b225f115721e024b2569134079e342c890032e25305849275e0c8bf6d33cf
outer_pool_regions	1
outer_pool_bytes	34
outer_pool_concat_sha256	d1a1217d460309537d12246b101b911e8365ff53f47b4b29da2f9fb7f3a0ccfd
path_run_address	0x006E6670
path_pointer_cells	0x004ABD80
direct_bl_entry_sites	10
external_direct_bl_entry_sites	10
direct_bl_entry_digest	2f6d7c4e87b8de53ab53f6a19105f52213c6c3e0760f974056c5c3579dbd6857
direct_body_calls	13
internal_direct_body_calls	0
external_direct_body_calls	13
direct_body_call_digest	802349dd50c44016c113e4c8c05faa7d3d2b9b86907aece9e1b052c1968cb87b
indirect_body_calls	0
stored_entry_pointers	0
strict_interior_raw_bl_decodes	0
unrecovered_direct_object_targets	0
third_party_dependency	EasyLogger diagnostics only; callback-list operations are first-party
historical_source_available	false
private_producing_commit_observable	false
production_routed	false
