recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ingress	evidence
1	charger_soc_is_valid	semantic	0x004ACE10	0x004ACE1E	14	e17eb2a3747482d36f72bdf101bc3c79de01b5c28b6bb4fa2e4acd9a56e35fad	intra-TU BL at 0x004ACE26	SOC values below 101 are valid
2	charger_aggregate_soc_is_valid	semantic	0x004ACE1E	0x004ACE2C	14	7b5c46717f486287b83c46f34d8be9d30bd2f39ecacc2fa915f33c49e3668723	intra-TU BL at 0x004ACE3E and 0x004AD240	validates runtime aggregate SOC at +0x10
3	_CHG_HandleInitSync	exact retained function string	0x004ACE2C	0x004ACF7C	336	df48a3137e6adcd9a21d77a809929748ff8e8173a95c04fb0971a65e75b0323a	intra-TU BL at 0x004AD4D2	retained name and 2/4/6/8 retry schedule with poll-16 timeout
4	CHG_InitBatterySync	exact retained function string	0x004ACF7C	0x004AD06C	240	cf644d6896767580a69237ee70ca971109f791029041e5ae57f0e49f8c0ff25a	exterior BL at 0x004C632E	retained name, mutex creation, sentinel initialization and timer start
5	CHG_DeinitBatterySync	exact retained function string	0x004AD06C	0x004AD0CA	94	62c8977e52b362b234934c83e090e4b5b2b9183b50e8751dba7f963a5660d63d	exterior BL at 0x004C64A6	raw Thumb recovery plus retained name, mutex deletion and timer stop
6	CHG_CompareAndUpdateSoc	exact retained function string	0x004AD0CA	0x004AD29A	464	cc52b2c86a8b3ef7e4db02b129c12d5333a2a2f22810d0952d23ebe6485a2305	intra-TU BL at 0x004AD7AA and 0x004AD7BA	retained name and mutex-protected minimum local/peer SOC aggregation
7	CHG_CompareAndUpdateIsCharging	exact retained function string	0x004AD29A	0x004AD45C	450	ccb7326dc41fdb422b4b246fa1b2b31747cbdf945190776edc3bc5a83a00e1aa	intra-TU BL at 0x004AD7AE and 0x004AD7BE	retained name and full-charge-aware peer/local charging aggregation
8	CHG_OnBatteryLevelChanged	exact retained function string	0x004AD45C	0x004AD53E	226	e29ae19b89477617a740c0025ea2a60dd550061a3f601ec3b9556b6950846e3b	exterior BL at 0x004C6896	retained name, near-full debounce and role-dependent notification
9	CHG_SendBatteryInfoToPeer	exact retained function string	0x004AD53E	0x004AD652	276	9b7203c4a29a8fcf45415491aabe4806677a1f0e0eb1e894fbe6baf5c324753a	four direct entry calls	retained name and twelve-byte service 0x105 message
10	CHG_ReceiveBatteryInfoFromPeer	exact retained function string	0x004AD652	0x004AD7C6	372	283651c314e14353d854e5dcbaa154f27ff51e6ef2a6f9840f2699bcdca13a6b	three exterior BL sites	retained name, peer-state import, response and recomputation
11	CHG_RequestNotifyBatteryInfoFromPeer	exact retained function string	0x004AD7DC	0x004AD86A	142	9edd932a9f208179c1de2298e182b7120e2fc032e2792161abfe9b52a6d80284	intra-TU BL at 0x004AD536	retained name and message-ID 4 request
12	charger_get_local_battery_info	semantic	0x004AD880	0x004AD8FA	122	15cc132f0050bd3c19d36cded1d55d4db9ede0687191893e04e87036b1254730	four intra-TU BL sites	SOC 93-100 compensation and signed-current charging flag
13	CHG_GetSoc	semantic	0x004AD8FA	0x004AD900	6	7fac141f4147b1db32ed2e0539f95c5e1d644579df6c927bc46831ee74e83279	exterior BL at 0x0046B43A and 0x00509F90	returns runtime aggregate SOC at +0x10
14	CHG_GetIsCharging	semantic	0x004AD900	0x004AD908	8	088459aac967667404120ae7e5b83c78aff05128a6b069810d3b5ff532eacd6a	exterior BL at 0x0046B440	returns runtime aggregate charging byte at +0x14
