metric	value
linked_functions	28
body_bytes	2268
body_concat_sha256	7ddab9a21b4394ca80bbedcac0fee1141f4e407c7c86038f4aa52b9f50fc8620
physical_interval	[0x0053A670,0x0053AFC0)
physical_bytes	2384
physical_sha256	a2886fb69c9abc85bfa25a1d71db3c9c040a47d0609751f71c9f5c305c6c1f30
owned_pool_interval	[0x0053AF4C,0x0053AFC0)
owned_pool_bytes	116
owned_pool_sha256	1709443848efd8bb84f60e554b5d07002e4d74f32a13a5288ea6e1dd2b3da4cf
direct_bl_entry_sites	56 total / 54 intra-TU / 2 exterior
direct_bl_entry_digest	ac7ddc6f6d0b6367d958649975065e3b90206e94bbb93f843ef1941f8f9d8bc0
exterior_bl_entry_sites	2
exterior_bl_entry_digest	041227f3ea11d59807015a1b123667cbaff5555e08c299ccff7fa868d4c0c6ae
direct_body_call_sites	93
direct_body_call_digest	d0cf5ecd1fa1327b6b806638ed38471d8f1e73a46cf92458025c099ec8dbf5d5
stored_entry_pointers	0
stored_strict_interior_pointers	0
direct_bl_strict_interior_targets	0
direct_b_w_entry_or_strict_interior_targets	0
raw_interior_byte_windows	0
retained_path	D:\01_workspace\s200_ap510b_iar_git\driver\chg\drv_bq25180.c
i2c_bus_address	bus 7 / 7-bit address 0x6A
runtime_pointer_global	0x200744FC
runtime_event_state_offsets	0x14 / 0x16
cached_charge_state_global	0x20073B18
production_routed	false
ownership_bytes	0
