recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ingress	evidence
1	bq27427_i2c_read_reg	exact semantic/name oracle	0x0053AFC0	0x0053B032	114	09c78bb4a5291dbad0b58ea713c288f395b9c8741303a3cb905d4e8c48611258	22 intra-TU BL sites	bus 7/address 0x55 and split little-endian register reads
2	bq27427_i2c_write_reg	exact semantic/name oracle	0x0053B032	0x0053B076	68	599e37e3ff27830146509de1eba6266853d5604b9094a0cec9e7670bb7e18096	16 intra-TU BL sites	one/two-byte little-endian writes
3	bq27427_i2c_read_block	exact semantic/name oracle	0x0053B076	0x0053B08E	24	78f4e78ea173ba9145a88557ba631ad1d9bd8d5efae5ec8c3721eb06e9f389f5	intra-TU BL at 0x0053B624	block read transport wrapper
4	bq27427_i2c_write_block	exact semantic/name oracle	0x0053B08E	0x0053B10A	124	462dc4e2766ab653cfc7c6688e7854e0850a64e18ef4f3e296641284623dd2b9	intra-TU BL at 0x0053BB30	35-byte staging buffer and log-only transport error
5	bq27427_read_flags	exact retained function string	0x0053B10A	0x0053B160	86	0728d87d1621321e8927cacf9e6da4cc5a5c4e04a19b36c4bd53d3eadf14aa40	intra-TU BL at 0x0053C02A	register 0x06
6	bq27427_read_soc	exact retained function string	0x0053B160	0x0053B1B6	86	703990a20d8045c5d5475252bbdd477eded40dcd465f36c1616f522fee6d97f0	intra-TU BL at 0x0053C07E	register 0x1C
7	bq27427_read_temperature	exact retained function string	0x0053B1B6	0x0053B210	90	d40b1a7b66e8181def9807f206dee5235473a66d8d9cd703b1fecff84c162a85	intra-TU BL at 0x0053C084	register 0x02 minus 2731
8	bq27427_read_battery_voltage	exact retained function string	0x0053B210	0x0053B268	88	50807c5b3839945b1e2ebd772d3b68fa274d5533fe57e8fb5cd1ae261bb5522a	intra-TU BL at 0x0053C08A	register 0x04
9	bq27427_read_charge	exact retained function string	0x0053B268	0x0053B2D8	112	454a9d1000b56b2d25ec4d1bf35752c4477e017cd547caec212882d569397295	12 intra-TU BL sites	generic two-byte command reader
10	bq27427_read_nom_capacity	exact semantic/name oracle	0x0053B2D8	0x0053B2E2	10	a920002bb323c5704fc877f596d06b110d4adf2465f22a2739c32291d4fc7f29	intra-TU BL at 0x0053C090	register 0x08
11	bq27427_read_avail_capacity	exact semantic/name oracle	0x0053B2E2	0x0053B2EC	10	5a7129d00d2662d4890dc359df521c6ffa5a6f000b06b92245005c9aa81a6b0d	intra-TU BL at 0x0053C094	register 0x0A
12	bq27427_read_rem_capacity	exact semantic/name oracle	0x0053B2EC	0x0053B2F6	10	dc259a213b7bda99116020e14562094ce50e808beeab4b17ce7e9dd5960bf3f6	intra-TU BL at 0x0053C098	register 0x0C
13	bq27427_read_full_capacity	exact semantic/name oracle	0x0053B2F6	0x0053B300	10	82d5ddc33a0bd1af86a48cb33842b12807c493fe42cc0f2ecdda165481dbe697	intra-TU BL at 0x0053C09C	register 0x0E
14	bq27427_read_ai	exact retained function string	0x0053B300	0x0053B35C	92	c67de10a4ba2ee3637973a152982ffa822a0413f451cb6ef7cc6de1cf3ce6225	intra-TU BL at 0x0053C0A0	signed register 0x10
15	bq27427_read_ap	exact retained function string	0x0053B35C	0x0053B3B8	92	93dddcc0de8656bc4cf6ff89738237ddce731a048cd44002bb9d19c594f4434c	intra-TU BL at 0x0053C0A6	signed register 0x18
