metric	value
retained_path	app\gui\EvenHub\common_image_container.c
linked_functions	3
ghidra_discovered_functions	3
additional_recovered_functions	0
path_anchored_functions	2
body_bytes	1554
body_concat_sha256	68e77fb7d59cae1d99b6ad68731cff371cc47cb111c30cc3b05341b098023ed9
physical_interval	[0x004DC5AE,0x004DCCD8)
physical_bytes	1834
physical_sha256	06fa573f6d72050ec84578e2f3ec035bffd3f5eaa02319896f0af1129b039220
noncode_bytes	280
noncode_concat_sha256	1c18922a2272bd70cb526b30d051ff5b9dc3b531705a150d062b899b4f655e6f
reachable_instructions	591
reachable_instruction_digest	3632afab86c26e7f25e134e6d4c7c146b9d0120a5075959fbf6dbc71d0db3ac1
direct_bl_entry_sites	3
direct_bl_entry_digest	ba36d2e2129d20d03e28fcb82ebd9cf4cdc51de28ee9e49577f48b12f63f3be5
stored_aligned_function_entry_pointers	0
raw_instruction_word_interior_collisions	0
direct_body_calls	81
internal_direct_body_calls	1
external_direct_body_calls	80
direct_body_call_digest	9325316d2c20d56aef31637de829eed8e1fc9375b25a9ce67953576fc3cde5d8
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	EasyLogger LVGL TLSF and AmbiqSuite provider edges only
private_producing_commit_observable	false
production_routed	false
