stock_start	stock_end_exclusive	stock_sha256	source_path_anchor
0x004DEE64	0x004DEE96	612f4dd120241e27620fedacd2d82c19121cec9cb23f58709fb1acab7bbb99e6	no
0x004DEE96	0x004DF6EE	4c996cd4cf30513c1d36a3047ba2d451195069c59f16f6af182fd4068f1c0bcf	yes
0x004DF6EE	0x004DF7F2	3d8fbd7c6ef9fca03a4701a07b70240ae35a6df8c838cfa58f30222221a7c8d8	yes
0x004DF7F2	0x004DF850	3da015ddc515b4d44703f4f279bf6023f301b31a1317756000b6fe5539b748a2	yes
0x004DF858	0x004DF966	89d1a71aea1379974cb9a1b7b5254021cd7fcde74130bd9860e9170cc0ffb2ab	yes
0x004DF97C	0x004DF9A2	10227c6c0dc867bdeea29dea8e1e17f3b6aa4dc94d3d848c6bfa1410d2f2faf1	no
0x004DF9A2	0x004DFA08	ed000983d723c58f6c2f312150bd9395007efdca557aa70c0accbbf69d92bf4d	yes
0x004DFA2C	0x004DFB5A	71defd29ba28b5297ca3c0578f5f5345f04b55ee48eb3079c7b04e3a00ae0ee7	yes
0x004DFB78	0x004DFC98	52430bc8bde781d52124c22303025c9c33c8e5dd1304d9e4befe577fd6fb9673	yes
0x004DFCC0	0x004DFE3A	fda548b6c29a18dde61c466df4a83bec3dce3320c80f6e8f3aa1f7eb13f6ac16	yes
0x004DFE50	0x004DFFC6	b270d185834d8d95cf48199059c986482e3686569456a3dc9cb792c30cdc3191	yes
0x004DFFF8	0x004E0286	c501c5886f3b8de4c637333c671530b15648358fa37b3084c3efc663125dede7	yes
0x004E033C	0x004E0B20	8a880b5ea297953c3f44f76f99508834518e9dd0411588b4fa23b9c00823ddb0	yes
