metric	value
retained_path	platform\service\compress_log\core\compress_log.c
linked_functions	8
path_anchored_functions	2
raw_path_references	6
raw_path_referencing_functions	3
body_interval	[0x0043C7CC,0x0043D0C8)
body_bytes	2300
body_sha256	f106c8bfa77dc32dad8dc3a9fc1cceeff7eb36c872fb2b3525e12ceb963a9565
reachable_instructions	898
instruction_digest	c825c08437327d58cb711c5412109b4548c0e4731ef59364eae798ee6e87f880
direct_bl_entry_sites	5726
direct_bl_entry_digest	4aa233cc3570726566c9925232cecbda6663f65e69bb487976ec267a0141a0ae
strict_interior_bl_entries	0
stored_exact_entry_pointers	0
direct_body_calls	78
internal_direct_body_calls	11
external_direct_body_calls	67
direct_body_call_digest	1ba055d02427a000609eae520e852b5c622023f490eec9201e3f930dcba4e14f
indirect_body_calls	0
external_interleaved_literal_cells	23
physical_interval_claimed	false
embedded_third_party_definitions	0
new_version_discriminator	false
private_producing_commit_observable	false
production_routed	false
