stock_start	stock_end_exclusive	stock_sha256	source_path_anchor
0x005B3EF8	0x005B3F94	e4128a9236a4e190fce8cac8a5dc6c581a5b46c9fb94d1100e60fdec7744fc12	no
0x005B3F94	0x005B4000	0ee2c9fae35569758d5c63e8cd5bd2abd3ecc99dbf04fb3f7c5ba7b4a3708d94	no
0x005B4000	0x005B4164	ab281fb4f4ff656f29c6b16c224d860665887ae09b89b19181a9eaa73b4c9f1d	yes
0x005B4164	0x005B41BE	f2d59f17cc01260b99661ae5122de4567d56e77ae98399399298917e57aa86d8	yes
0x005B41BE	0x005B430E	df0936c465d9132b5ae57b4c68e2f265fb23c5c3cd74af773dc9d859c0bc1193	yes
0x005B4378	0x005B43D4	373b00f0935cede70b7fb15614e66e853d223b6c278317b3a2656ecc086ca9ef	yes
0x005B43E8	0x005B43EE	f992665d1f9f775cd2cb1d82cf51936a69ee903595f73820a94f5ad20c9e5a98	no
0x005B43EE	0x005B44D8	4bc5534e1976d14989be0846bdf634f48a5832eb92edc1db8eed85ad3e9d4a74	yes
0x005B44D8	0x005B473A	96f438feee38874263b15f462a870914c97c9f142216dcb8ee3ad942fbfb58f2	yes
0x005B476A	0x005B4770	d27121c7d956b1335cfa572dced250dcdb294ed2f4387793f0b6335757c29d51	no
0x005B4770	0x005B4776	e44c5de9f83c276d031828b8e31aced46859a23de12bd987b2fd08aec8b6ec2c	no
0x005B4776	0x005B4846	1318ccecc703f71b342f8bd92348b0f715b643dd442bf52b77881b898fa9cb51	no
