metric	value
retained_path	app\gui\conversate\conversate.c
linked_functions	12
ghidra_discovered_functions	9
additional_recovered_functions	3
path_anchored_functions	9
body_bytes	2250
body_concat_sha256	7aa3437ffd474ec766826acce344af4495aba0eb20fbf2fb3a3a68770df03086
physical_interval	[0x005B0114,0x005B0B58)
physical_bytes	2628
physical_sha256	9dad2a5945df6f0a76a0c78da9f52f86f3144b29ffd3e897c0bd03d0719c180f
noncode_bytes	378
noncode_concat_sha256	6dca6ea8fc70c17bd6e7bf62ec9910027ff907f9a149706bb9ccb212cb21b6ad
reachable_instructions	845
reachable_instruction_digest	cb23ed88ead58f08bb023276adeb04ecf3dbc4bf262707df6dae0c62a951534a
direct_bl_entry_sites	46
direct_bl_entry_digest	89fee70257646f101f150250da80d680be61a4569d9d749f2caf874a60d76037
stored_aligned_function_entry_pointers	3
unaligned_exact_entry_byte_windows	1
raw_instruction_word_interior_collisions	8
direct_body_calls	152
internal_direct_body_calls	13
external_direct_body_calls	139
direct_body_call_digest	c15a3074732bc876aa34c01d0ba92ad6b25a257d1a740539f9dbadc9748f53e6
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	EasyLogger IAR runtime CMSIS-FreeRTOS LVGL nanopb ARM EABI and CmBacktrace
private_producing_commit_observable	false
production_routed	false
