stock_start	stock_end_exclusive	stock_sha256	source_path_anchor	stored_entry	qualification
0x005B0114	0x005B011C	6fd1aad07579d404b49b811751457a15f161b76a1f97fd9835dab84aaf0fb3fb	yes	yes	vector-referenced fatal backtrace entry
0x005B011C	0x005B0120	216312cc611f7913183bf1408be71d17cc8774c388ccd585c665a347fdf98a83	yes	no	self-looping fail-stop tail
0x005B0120	0x005B01CA	f9daed76094fa144d310abcc476cd0bb75db414cbb908bfb0a8223e717d7e12e	yes	no	lazy controller mutex initialization
0x005B01CA	0x005B0284	c5365c9fe2286df58c3a4c48d889608cf91f483de3530bca46e032d35ce27d3e	yes	no	controller mutex acquire
0x005B0284	0x005B02E4	3793644023cfc7e149fcab096b0165da3c38999d2d13865411269d272cfc60b4	yes	no	controller mutex release
0x005B02E4	0x005B03C2	36cf6a828f8d24a6eb322f640d745c4055a05009f7f84280148c4d1d65141b1a	yes	no	role-gated state message sender
0x005B03C2	0x005B03D8	50144e1b5932d828d4e958137ead36a0a76b82362345e56ffe59045c4aa27114	no	no	activity timestamp reset
0x005B03D8	0x005B0476	27421d374d0852121f14ec34c9d4caf786272206ae73028c42058b64b684c317	yes	no	inactivity timeout handler
0x005B0476	0x005B05D0	8372fe3160a71d3efeaa47ffaf24f58a2ea33251ed8c42bcbe91617dd1cd32aa	yes	yes	protobuf response callback
0x005B05D0	0x005B06AA	579b204ae9ebc25d29de1d1053b510986ce3327f46e84756bbc788ca8d717a27	no	no	UI event bridge; unaligned exact-entry byte window is non-semantic
0x005B06AA	0x005B08A2	830971b87d27c4b3919f9cfdf0a96d14db8f178845d063e4ee49520659e4de1f	no	yes	stored controller event handler
0x005B08A2	0x005B09DE	a814ca4017ff62c30d661da964d75575f45140b5c47de3c93ba3efa961d910d0	yes	no	conversation payload decode dispatcher
