metric	value
retained_path	app\gui\conversate\conversate_timer_mgr.c
linked_functions	24
ghidra_discovered_functions	9
additional_recovered_functions	15
path_anchored_functions	7
body_bytes	2204
body_concat_sha256	3f08c5bebc030c1ad3e7612979061bd029606370f94105dbe4f6d19f0998a1fe
physical_interval	[0x005B3570,0x005B3EF8)
physical_bytes	2440
physical_sha256	bbefc4cb85defe08a5f5581703cbe458f83bd2dbf2eff0c2a9293eaa5d660e8b
noncode_bytes	236
noncode_concat_sha256	3ffe68bfda304dea5064599a5119e7d359c1bff4ad782f01a7999e3ea2bf39ab
reachable_instructions	836
reachable_instruction_digest	3f13c4890306136d6276d31a3ec2e4e385074903da37277f852ee6070c0edfc2
direct_bl_entry_sites	33
direct_bl_entry_digest	b3d485702640b7c4da7050efd1bab856f2caf0d9dd2efad40cbb65e479f522c0
stored_function_entry_pointers	6
stored_function_entry_digest	a85efd9923d77116c2178e34982c5898a44c4106511b3cb086e584e01b3a5baa
bounded_timer_callback_table_entries	4
direct_body_calls	129
internal_direct_body_calls	27
external_direct_body_calls	102
direct_body_call_digest	115ed90df730bd79219ee40f8fd7eed50ecf29ddfd94faf395a370fa16787fa5
indirect_body_calls	2
strict_interior_ingress	0
third_party_dependency	EasyLogger exact CMSIS-FreeRTOS tick wrapper and closed first-party providers
private_producing_commit_observable	false
production_routed	false
