stock_start	stock_end_exclusive	stock_sha256	source_path_anchor
0x005B3570	0x005B35D0	64de12d3447e4ff2f76da63b96811855ee419b38f9d5382b8bd5b8cf37637fcb	yes
0x005B35D0	0x005B3628	d7076221e568395806fa72f7708fa7ce35a5b313c54fd7b481b40857efef11ae	yes
0x005B3628	0x005B3648	4fecc17cd604a7535cf6741eb5c87e276b7a0b7ca5ea085790237bf496d05d37	no
0x005B3648	0x005B3680	3bf7d0d58ef06303c510786c5009a94cc6e88d0b19859e93721f5c21c666dcd1	no
0x005B3680	0x005B36BE	e7852a8036a955baa5d7fab3db6ad6d8a4e4182bde632feee49a9944a9d0704e	no
0x005B36BE	0x005B3718	7da5d1031e5555a4430580a7b544f3936ff322122707da4e05171cfe6a9e9894	no
0x005B3718	0x005B3766	80e5823b72fb205c4b900774ead7eca7fd694fc73f5998d4c98f215e46e344ef	no
0x005B3766	0x005B37C8	706e14424661904539f50721098e5d3b336de48c21007ffd0712c754e90f24cd	no
0x005B37C8	0x005B37D8	079bd5efb2f5c2e51bcecccab60f4c4fdf16c046fb34df3db1fa3844e138160a	no
0x005B37D8	0x005B383C	c36216d439c745918fbf97ae8572c6d2f4db9479ba70505f5313377839dee130	yes
0x005B383C	0x005B384C	0bc50fbf35c159c906de4a4f9acdd6cbc8770e9553cf78001cf7d7a59da5ff52	no
0x005B384C	0x005B38B6	02fbacddb2b21d437d94fd9338b6bd2a4f638856328597dce1493d2bb2200f13	yes
0x005B38B6	0x005B38CC	86ad5cfd915b6422ede3afd8a9800fdd0bbc87408a3567aacd489d49b9a6691e	no
0x005B38CC	0x005B38EE	04ccc6b70b71b4d3324146f40071d7221336fabd8cdbfce07d6e0b178bc02681	no
0x005B38EE	0x005B39B4	97a548ef70029d896f85356167e881a67ad452dabcf51f79a96356982de990cb	no
0x005B39B4	0x005B3A5A	66affd0bad170b0f061b9ef9e756b9d00840cbb67c09d492bcbca53619f555d8	no
0x005B3A5A	0x005B3A88	5b81738324d1ac21788c469e13dd7aaf4a382eee0dc973ffaab8d1ee3217837e	no
0x005B3A88	0x005B3C2A	fc47ebd6fdedd038aa55893f68f9b6f040634c8bff21a20469b8efae5a2b04fe	yes
0x005B3C2A	0x005B3C70	16490e36bb01b0a2ae2e2f448e8faec6f0ca8c3faa50dcd2f0a33aae2d3595f7	yes
0x005B3C70	0x005B3CBA	34bd953dd73a0cc1fb5ce81a5aa1156c5e74dda9f7eea7aff3b89b7d0bf60365	yes
0x005B3CBA	0x005B3D04	b33fa72a06944c88f69811e09d2a8f0e97473b1966db21ae506b591d91b8e238	no
0x005B3D04	0x005B3D62	39a334e620c0c16f7046457c228b2f79b90d96c2d2eeace347829d54f2967ca3	no
0x005B3D62	0x005B3D86	22b84001b9486c119309fadcd6c39107485c546896964b8917cbc55b96cb7bfe	no
0x005B3D86	0x005B3E0C	f135100d747f44df012dcbfbd6fbe17c7d9a5ce8ef3c37ed1c5bb21a6484f898	no
