stock_start	stock_end_exclusive	stock_sha256	source_path_anchor
0x005B23E4	0x005B24E0	3588ea5b157ef3375e2bbf15462d5182d5bb0a4330840febdbf7429a1b484116	yes
0x005B24E8	0x005B2642	0f80eba384ca7127fc702fc2bf5f8847b9138eecd4bc58f1baefdeffb29c8f2b	yes
0x005B2642	0x005B2652	79a8ce71d5e71c4fde0e1395b35186569d37e724cb299e7981b00f392b13fd70	no
0x005B2652	0x005B29BC	d2a51385ff76a6dbdc75b4892923adb5c2c5adc2d0976c3491b4b4e65dc2506e	yes
0x005B29BC	0x005B2A64	33fdfddeaf10eda503dbbe83d566b4845a1505d29a76dffa0fabe3a540776ed4	no
0x005B2A64	0x005B2B74	9759cb003bed38dd8fa0f55db666c5a4cd829f9b82f806792f81c87300939298	no
0x005B2B74	0x005B2C68	75d344b071eba4e5b10e24d4d2d5d4efa29d83deebe9c7eb599f39b378292b5b	no
0x005B2C68	0x005B2D18	90a8d60b5f335a914145f4ab50539501e207c9d9d67e4a345654e92d9e2715f4	no
0x005B2D64	0x005B3098	1a76492ba51b79d01227b338b9571ae0a191caea0437d01fc2fde12d72a79a33	no
0x005B30C8	0x005B32A4	317a4a4c86458fb87f2d74e3438dd0628aeac6c1c9b133582c90e1500ec7147c	no
0x005B32B4	0x005B332E	95b50900ea1da79e0092b96cf92d3fc5c446ea429acfed632108a58dc0ea7348	no
0x005B3340	0x005B3384	75ce70deb5466b91c3dda66cbbb4afb4ae8773029abc8ac8722f60dc3c58f1d5	no
0x005B3398	0x005B349C	cbe72f307b77587a6c54702f7dce299226a1b0a7f37e4ab38a01966579a5fcc3	no
0x005B34A0	0x005B34AE	7c9d330b3f9cd94b5420587b01f5b7fbc405164a99ad82d98aecaff2be3ebb18	no
0x005B34B4	0x005B34CC	63ad8cbbff20caafc53a9137b44fc327d80be4ac141df6b59a2bc89eae2fc979	no
