metric	value
retained_path	app\gui\conversate\conversate_ui_prep_note_page.c
linked_functions	16
ghidra_discovered_functions	9
additional_recovered_functions	7
path_anchored_functions	2
body_bytes	3114
body_concat_sha256	98688b1c373bb72979a7537b2c154b8b837e9d964bdf8181be08e1427633171e
physical_interval	[0x005B69D4,0x005B7684)
physical_bytes	3248
physical_sha256	50bdf1c1fd5db1b35751b1d8340e072dfa7b23172cefa33fd132f8a1bdfe5078
noncode_bytes	134
noncode_concat_sha256	becee15e52de4c4ad524689342ac7f4495d870652bb4c63efe7b3d779f7de6a3
reachable_instructions	1211
reachable_instruction_digest	6ddecbb0095db7d493cd80138ecb5fda938bc81943fcfd366d935ff22b9d6d31
direct_bl_entry_sites	24
direct_bl_entry_digest	7093435ad7673b6c29662c2380cc575d8617555c0ce87db1eb9f43ee9cccfed9
stored_function_entry_pointers	9
stored_function_entry_digest	9fb8eb00732fd55e732eeba3104cf97bce582d0e1c6b8352124d040e49cfb60d
unaligned_interior_pointer_shaped_byte_windows	1
direct_body_calls	211
internal_direct_body_calls	23
external_direct_body_calls	188
direct_body_call_digest	073377d09b7001a15e93538d83e950845413a80f4eb0378b732f9a39ce6c6429
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	EasyLogger bounded IAR LVGL and closed first-party conversate providers
private_producing_commit_observable	false
production_routed	false
