stock_start	stock_end_exclusive	stock_sha256	source_path_anchor
0x005B69D4	0x005B6A06	adfe0aca2590fffb0dc9c71a6be6182ec55f0d6fd30b2e24a1dd28875b6742a4	no
0x005B6A06	0x005B6A3A	55f62ece23a90e0322ff9f30f2a3805f5d00a399a01ce2a0d4e40e41ad9f23f6	no
0x005B6A3A	0x005B6A52	2dbcd3a51b4b5147addfbb3385e022831e1ee63c35a3ba686ca4f27741710a49	no
0x005B6A52	0x005B6A7E	0b952ad7a3b4ad838a57c2cdaed35e8f433bbfc23b9de57a896ccc8aafc211b9	no
0x005B6A7E	0x005B6AC0	3a7bf5748f10c820f23f8e0e56a4c8c584838a503ced388cc8b97ba25c092f3c	no
0x005B6AC0	0x005B6B58	259e0fb7a6434e59f979450359b482cfd462ebd613e038dcea61483bbc22e605	no
0x005B6B58	0x005B6C48	0297fb08d94968d14461a7e4af5789cc327c0247bd95ad9ec57130f34cac9c6d	no
0x005B6C48	0x005B6CCA	657392e21c2312f3659a2bff8f75dcefcc02abdb322a4bffc7e15380063b43c5	no
0x005B6CD0	0x005B6F8E	af1b92a259c3754e747b41fa0ca600b22db143921cda3b64deb7b2858fc73a95	yes
0x005B6F8E	0x005B7060	b0cc99ad998034e06648f0c89154992ec11434974e8f3e6cfeacb3190a48bfd0	no
0x005B7060	0x005B7116	07c981e291bdaf83c8979002cc501a530ba67cc9f2a2aab9bed31aed82da0f6d	yes
0x005B7116	0x005B7138	79bf498e4a4e0d6745ef1a2ca16cdf9c4d9aaa0552dba8aadcd2d27a13a5f5e4	no
0x005B7138	0x005B74BA	4d2461992dd378e1813366261aa17e4195d202593ad094d5e1af869d8b1ee815	no
0x005B74BA	0x005B7518	019a2ad280b9e651fdab9d81219d94085239061f096c65d769bc897becf17aee	no
0x005B7518	0x005B7556	37604e0e490660c25ca3b7840e96a388d7e360accd9cd4a7f7ae0051bf7607ea	no
0x005B7556	0x005B7604	af320399ad01503d21398f6599d9f73c9e88f9bcb5a171449617c5e7ac727981	no
