metric	value
retained_path	app\gui\dashboard\dashboard.c
linked_functions	24
ghidra_discovered_functions	3
additional_recovered_functions	21
path_anchored_functions	2
zero_ingress_recovered_functions	1
body_bytes	10040
body_concat_sha256	ac002d7d0009ef47bf8c5d46fe419dcb21ac53887b780e86a304d80175ece98d
embedded_literal_pool_regions	2
embedded_literal_pool_bytes	48
embedded_literal_pool_concat_sha256	aecaf6e22841dc6756c0931db1f780239ca17148a3a8215e57ebfee97c1e0f65
physical_interval	[0x0049C070,0x0049EAD8)
physical_bytes	10856
physical_sha256	1c8d1e7f68067e7c12aaab9dc5561d47150492bea6a362034c4ade39ecf23497
noncode_bytes	816
noncode_concat_sha256	24504891c1168d813eb65f47819f626c9de2fbb23c0fe863b2f175e933e7ded1
reachable_instructions	3580
reachable_instruction_digest	98dc39221ec4f9827a1a13462b24282ab976cfe2501124d38c124b284bc0b72c
direct_bl_entry_sites	35
external_direct_bl_entry_sites	16
direct_bl_entry_digest	659fd916ea588ec7165ac1d66e36babda864910d2365b3652d18144087887843
stored_function_entry_pointers	6
stored_function_entry_digest	f98845728741f544614e563721f758f88f6842debd5ed2f7b4c31628841a97e6
unaligned_stored_interior_pseudo_pointers	6
stored_interior_pseudo_pointer_digest	ec2020c7b44b0c5b51da206c3c7add6e6570d5a2beab77571913a7acecc6e79e
raw_unaligned_interior_bl_collisions	1
direct_body_calls	617
internal_direct_body_calls	19
external_direct_body_calls	598
direct_body_call_digest	ff8dd08a812811c408402e79e291b47ed4047734633e060f628dfd56ecda8566
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	LVGL EasyLogger IAR DLIB CMSIS-FreeRTOS nanopb and first-party dashboard providers
private_producing_commit_observable	false
production_routed	false
