metric	value
retained_path	platform\protocols\dashboard_service\dashboard_data_process.c
linked_functions	14
ghidra_discovered_functions	10
additional_recovered_functions	4
path_anchored_functions	7
body_bytes	5706
body_concat_sha256	adfe92572c80465f075494d2485ea103476c13e9f68686639e5558259e6e9128
physical_interval	[0x004FE0AA,0x004FF8E4)
physical_bytes	6202
physical_sha256	a6db691772be8638127ba3435980a3a5726e9832832285e2d451a99b7501a0f9
noncode_bytes	496
noncode_concat_sha256	d7f8aa6590d8c87eb66ea2b4c1f5852aa7f7198234404f4dc670379e802ecec5
reachable_instructions	2143
reachable_instruction_digest	14d687d7174d9d3619abd4c09a26294941f2738b1dc5b62c641ccd1f59a8b632
direct_bl_entry_sites	23
direct_bl_entry_digest	6342febd564363ae856988c77ae7c95a016d2c6f7dc36af3861afdea6a8f071b
stored_function_entry_pointers	0
direct_body_calls	262
internal_direct_body_calls	7
external_direct_body_calls	255
direct_body_call_digest	05dc45fc65cc393a9d3eeb4990cc0d96d8198cf67b025a63926dd07c587969b8
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	EasyLogger nanopb CMSIS-FreeRTOS bounded IAR DLIB and first-party dashboard providers
private_producing_commit_observable	false
production_routed	false
