stock_start	stock_end_exclusive	stock_sha256	source_path_anchor
0x00558030	0x00558040	ac5ceb533f1f873e8d90c8ea889836bf5d64acf0cd3bd4fe95b0a70d7158386f	no
0x00558040	0x00558050	bc22ed4d239eeccf615731e734e054e1cbdc7d345e0cd04acc4ac680d2aa1ecd	no
0x00558050	0x00558142	1db28c136a10b3b1db003897512ce1f1a564952ff7926d06eb4b4e43813eef5d	no
0x00558142	0x00558148	71216a674cc92fc09f0a778efaec5638924d0450057c3c52aa5847be3fb0308e	no
0x00558148	0x0055819E	b83873e8e0eceecd1ac56f0915d32961f886d5b4d4a295c6b63b52c5af8c84eb	yes
0x0055819E	0x00558314	fc51e6f2457fc5fe582d92f873b865a1a28ad8257316e1db3e8d56e35ff470de	no
0x00558314	0x00558376	08efc8dbf3dda65070c74f280c1269405bee477eeb17646b748ce37fc972ec3c	no
0x00558376	0x00558632	6664f79a97cda8d0e322101b4036ba08502d4483eab6fa3b1b5f7072093e2150	no
0x00558632	0x0055876A	0f27b4d1eaf2f61f1b2265ec95bd42cf35d5ba4c90ff56e6bf7ec77fdcbc037a	yes
0x0055876A	0x00558804	5adeb400273709530edb39412b52aa70cd63291b6186f3064a8765ff62786f32	yes
0x00558804	0x005588A2	5af52856e84aff0ff313ad43ac0d3596a2b18e111265f507e53b1f7fed161d0b	yes
