metric	value
retained_path	app\gui\dashboard\dashboard_watchface_layout4.c
linked_functions	23
ghidra_discovered_functions	3
additional_recovered_functions	20
path_anchored_functions	3
body_bytes	4184
body_concat_sha256	bc618986eda768267255e6b9e1fd5c3804556d088dbef97572cbfc70682b3342
physical_interval	[0x005BABA6,0x005BBDA4)
physical_bytes	4606
physical_sha256	c603591ab318e8048e0308c61ba04308583bff4eadee966c0113b7a04eff5a28
noncode_bytes	422
noncode_concat_sha256	6e0cc27e6c3716b8ba793b533ecf35c02b31283ee5fd21ee6d6297daea06faaa
reachable_instructions	1583
reachable_instruction_digest	1e218efcf922d3c9d6cb799b04292dfe6f0a6a67695fcca45c0e0aaa625f9d17
direct_bl_entry_sites	18
direct_bl_entry_digest	bc33283d91f89bef44bdc12c92a4fed2c716b4c1d6190d81b84dc9f09bdfeabb
stored_function_entry_pointers	11
stored_function_entry_digest	8f6549589caef0fe2e58606a22d32cdd4fdc5b160b41b29a1a41ba2a89c16ca3
direct_body_calls	248
internal_direct_body_calls	18
external_direct_body_calls	230
direct_body_call_digest	b837c4f3f8fe78e38c1a833be3004cde1762b9f3e0f1e48b6ef7d77d90cc0660
indirect_body_calls	0
raw_overlapping_pseudo_bl_sites	1
strict_interior_ingress	0
third_party_dependency	LVGL EasyLogger AmbiqSuite HAL bounded IAR DLIB and first-party dashboard providers
private_producing_commit_observable	false
production_routed	false
