recovery_order	function	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ghidra_discovered	qualification
1	device_mgr_fn_004c6240	0x004C6240	0x004C632C	236	2e0dea4844fff75611df4876a52bdd48cc52c206b2bede3fd2ba64defafed49a	no	no	references the retained path cell; emits diagnostics and creates the worker through exact osThreadNew
2	device_mgr_fn_004c632c	0x004C632C	0x004C6498	364	4d5192dd2bf6fc5e089d5b20e650bbdf15d0542208c15a6536635860f991c92a	no	no	device manager initialization; calls CHG_InitBatterySync (closed charger-common records this BL at 0x004C632E), SVC_Settings_Init, the universal-setting message handler, and closed dashboard battery sync through exact CMSIS queue/timer wrappers
3	device_mgr_fn_004c6498	0x004C6498	0x004C64A4	12	84ed5244010c006d02cc17f4caf5994282341ca031342a4653e5e16ea9ee0724	no	no	starts the closed watchdog object and an unclosed DFU-region provider
4	device_mgr_fn_004c64a4	0x004C64A4	0x004C64C8	36	805755693d4a3e5f359ebc8bbf1af93f1c8469d14256659efd2eebc8ed70731b	no	no	deinitialization; calls CHG_DeinitBatterySync (closed charger-common records this BL at 0x004C64A6) and exact osThreadTerminate
5	device_mgr_fn_004c64c8	0x004C64C8	0x004C6510	72	8d7ca64c01cf4c3928500b3cb9a5d1ce95fce407b2f5630130f1d62027bdb61d	no	no	message loop step; drains the queue with exact osMessageQueueGet/osDelay and calls source-order siblings
6	device_mgr_fn_004c6510	0x004C6510	0x004C659A	138	7d77e34ebdf78b298af095d4f26c59bcfbd0806a53e5dca71348ecb00c999db0	no	no	bounded five-slot command dispatch; one indirect BLX over the fixed table at 0x007490C4 with NULL guard
7	device_mgr_fn_004c659a	0x004C659A	0x004C661C	130	ec76647cb9754c6772c8d71b58d4c8bf5f213b84b1a7f37e1237cbd99b6c065f	yes	yes	path-anchored EasyLogger diagnostic wrapper
8	device_mgr_fn_004c661c	0x004C661C	0x004C6638	28	a76775f1ca0fca6c39e12e8a95e2cc155a636ab60974f6e1c265a33d1f4f0371	no	no	calls the path-anchored wrapper at 0x004C659A
9	device_mgr_fn_004c6638	0x004C6638	0x004C66F0	184	4672ca7b50d89846bce1fa0ac4fe54ea04d9ed75e3119b2de8bee69ae49c5fc5	no	no	registered table handler (slot 2, stored pointer at 0x007490D0); dispatches to sibling functions, the watchdog selector, closed nPMX driver, and an unclosed DFU-region provider
10	device_mgr_fn_004c66f0	0x004C66F0	0x004C674C	92	8a27bc148ad57623313fac35722562ffcd66a5dffa6dc467fb72662934e41da8	no	no	registered table handler (slot 4, stored pointer at 0x007490E0); diagnostics plus closed ring-battery provider
11	device_mgr_fn_004c674c	0x004C674C	0x004C67A4	88	469f52fcbb9aeb03559fd2f7497681a6f76ab90c0136b10ca2db4f1804d29eb0	no	no	gates on closed OTA-transfer state and product mode; calls an unclosed box-detect-region provider and a source-order sibling
12	device_mgr_fn_004c67a4	0x004C67A4	0x004C67DC	56	266dc3e20387dd4d5f585abb0a532a2d9ccfb9fdd0da6e6d13910065109f5586	no	no	calls the bounded board cache seam at 0x0053A5BE
13	device_mgr_fn_004c67dc	0x004C67DC	0x004C6810	52	a0c7250a69d0d46e0881bc8ee2ed0cd3d4dde7f49bef4e819baffebd17736f0c	no	no	leaf getter over retained device records
14	device_mgr_fn_004c6810	0x004C6810	0x004C691C	268	7a56d8250be28ac1e50db7840b69afb4777c1c728180009c70022cf66e660f8d	yes	yes	charger gauge init path; calls closed DRV_Bq25180 (records BL at 0x004C6886), closed DRV_Bq27427 (records BL at 0x004C688A), closed charger-common (records BL at 0x004C6896), and closed NVDB sys dt
15	device_mgr_fn_004c691c	0x004C691C	0x004C6990	116	30a75931eed36d6f651cdec99a7598049f7d7f4b51f35998a9e50c45ca21eed8	yes	yes	path-anchored EasyLogger diagnostic wrapper
16	device_mgr_fn_004c6990	0x004C6990	0x004C69F4	100	d7134aa8d35ddb3c6f4015cf1109de11896e557732128bd627055815d530e2c5	no	no	role-gated sync step; calls closed display-thread role providers, exact osDelay, closed sync-interface-api, watchdog selector, and closed nPMX driver
17	device_mgr_fn_004c69f4	0x004C69F4	0x004C6A56	98	5b419f2df9b50874b66bd4301fba3deac21d95632cae26698788178ba45d0f8a	no	no	product-mode gate via closed NVDB provider
18	device_mgr_fn_004c6a56	0x004C6A56	0x004C6A9E	72	3549f325a902d96cbbbc04e62560d79b91ff1665135df8033ba542e4fa6fc250	no	no	alert path; calls closed display-thread, bounded sync transport, closed buzzer, and closed audio power providers
19	device_mgr_fn_004c6a9e	0x004C6A9E	0x004C6AD8	58	41693443da6bda176c7b66aadcd9983750f03a6a754935649f66275a435b8b01	no	no	records device time through closed service-time and NVDB sys dt (closed NVDB records BL at 0x004C6AD0)
20	device_mgr_fn_004c6ad8	0x004C6AD8	0x004C6BF4	284	d0de36cbae15949f07c01e290f031b3732a41730cc64d438dfbef9e110da86a2	yes	yes	status sync; calls closed NVDB sys dt (records BL at 0x004C6BDC), exact FreeRTOS xTaskGetTickCount, closed service-time, and an unclosed glasses-case-region provider
