metric	value
retained_path	framework\sync\display_thread.c
linked_functions	27
ghidra_discovered_functions	14
additional_recovered_functions	13
path_anchored_functions	14
function_interval_bytes	9100
function_interval_concat_sha256	a6e8474e75e12304f39294cf793c131b219219653291aa87a6d2ba6d4441aeca
body_bytes	9100
body_concat_sha256	a6e8474e75e12304f39294cf793c131b219219653291aa87a6d2ba6d4441aeca
physical_interval	[0x0044228A,0x004448F4)
physical_bytes	9834
physical_sha256	e0b5514252793850b22b4a49f5419301d03498bf78b4c07608af63d0fa3c8ba9
noncode_bytes	734
noncode_concat_sha256	7c83acb922cf34e4025b894dad4a114dd9919f31b5d7e875d090297709c2e075
reachable_instructions	3370
reachable_instruction_digest	435a7bccf13c2aa55c3eaa0f67fcfa0044ff27473a4c41e7bbcccdef4650a14d
direct_bl_entry_sites	201
direct_bl_entry_digest	7841508b70353906fa7336e297ee76067452a93907604c108fb4121de9eaa0b2
stored_entry_pointers	3
direct_body_calls	545
internal_direct_body_calls	23
external_direct_body_calls	522
direct_body_call_digest	41e3b1051dfcf70231dba3ca3dc9855c1da309bfe317c88d992b6f49fdfa4f69
indirect_body_calls	12
strict_interior_ingress	0
third_party_dependency	EasyLogger CMSIS-FreeRTOS FreeRTOS LVGL bounded IAR DLIB and production source-owned runtime helper
private_producing_commit_observable	false
production_routed	true (main command loop and stored display callback)
