stock_start	stock_end_exclusive	stock_sha256	source_path_anchor
0x0044228A	0x00442456	002386e72a039c15da29f00136aa94db7939571f0083864d392957e5c9acff6e	yes
0x00442456	0x00442524	e5af3c05cee03994d685495ee5951b69a34f40d44983d3df158f5c0e276797e3	yes
0x00442524	0x004425A6	92d6bb55cd4e268ccdb1c752b1b2907497a255fde1a78ac6aec6e9cde170674f	yes
0x004425A6	0x00442618	f5944fa71f6ce049567bedfeabc78ccef6d3330e5124d92f555fb56dc4b187d0	yes
0x00442618	0x0044264E	4c7efd92d787ff80a30569306f889757749629ee3f2592f15ffc3a4ba406a1e6	no
0x0044264E	0x00442BA8	70f0e07e2dca5c328805acc0632cbae37a585ce528950924d197a55f6f97d52a	yes
0x00442BA8	0x00442CC8	e2df97f1ad0e22a657c11d2da663bde55722fb717de497a82469a88863de4ddf	yes
0x00442D64	0x00442D86	05b91520750fe6f50fcf4ba3b378074e469eb5949798ce63057add5150cd591a	no
0x00442D86	0x0044347A	7ae646b7a7a909729091db6925d1c638ab175baf59c9f6638c5aa9cfd197424c	yes
0x0044347A	0x00443480	9f6a82575529865e702189f4269ad5d98d56cf6606fa8abec6d5c70e5638bc27	no
0x00443484	0x00443496	92b32107ad1e5eafc2d2318c18fcd6de70fa43e8d79286fcd5677d113f24aded	no
0x0044349C	0x004434AC	e9cdee91ba4f1d9dd6c73ca14f486512c94c6519fa9cf675e1184d25c536fef5	no
0x004434B4	0x004434CC	5b3de283b4e19875395c5031d29978c22198dd94daf0130d76e3e59eec7f4b2f	no
0x004434D0	0x004434E8	d17e4f9ae30334f4c33853957874d38d749d41f6256a5caeabf93908e3c78a9e	no
0x00443504	0x0044368E	4d5a53bce5cee29a120a2515c6ddc41ba1d17638200be06c6fe1572ff3a4be9c	yes
0x0044368E	0x00443728	64133c381f1d583a9fcc56443900af8e4c49d34068167ebfdbe37b9042d02976	no
0x004437E0	0x004441DE	f6881f6d278e659feaf174173c87401663790f56af57b5dc4e0be97662f2cfbb	yes
0x004441EC	0x004442BC	9df029b7b685ccc7f930f190f6c2c3a7313c953159463d227b0b6948fc6386cb	yes
0x004442D0	0x004443A0	00a9a0668789260ce669cc081b8ba8620bbff31bbb08504e124c31b6a4deb299	yes
0x004443CC	0x004444A4	7fab25a24f46dee1173d5e5599d1464604538ea93af44f8a820418ad4400b59e	yes
0x004444B8	0x0044458A	577d1e9eeb9c0e6b9be34b244cf64f9f2facf238b8bd9af4888383003646c708	yes
0x004445A4	0x0044466C	1017321f1bb620f62168932dcf4d72cf07e3361ef46750e2a4536d3f5dd4413d	no
0x0044466C	0x00444684	d8674040238b9117c26ff151cf49d0b4545969dd0433b1b5d23cdff9555c3a88	no
0x00444684	0x00444690	01a92609fa69e1f57bc32b2314f6c09dadb9f9ab80ae8a49c85f847248edffb7	no
0x00444694	0x004446A6	39b4f792b507afc1fbc36973d240103df81c5053b51298efb4fdd69349f945dc	no
0x004446B4	0x004446FE	d86b42c32df5568ab3d2eb0f492a24000573ff39a8ae11f23d74611ae5b3e7bd	no
0x00444720	0x0044484C	cf1dcd925b9c2e26fa47b2cea5978f2c11f2255f791775b213f62a000919b7ad	yes
