recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ingress	evidence
1	buzzer_pwm_config	descriptive high confidence	0x005026BC	0x0050276E	178	de96cac5a981f0fac03f67847b514f54cdd3d1da533384fadd1ee744e1ca555f	internal BL at 0x00502AF4	configures channel/pin 7 from a 96 MHz clock and computes period/duty state
2	buzzer_pwm_start	descriptive high confidence	0x0050276E	0x0050277E	16	8eca24334d072e28505fec750e397b0c858671370f0f28586d55b30949ad58c4	internal BL at 0x00502804	starts/enables both channel-7 output providers
3	buzzer_pwm_stop	descriptive high confidence	0x0050277E	0x0050278E	16	6cde941b1f7f0f7965bf798c61273dd8270f226295db0e3699c828a8bce31339	five internal BL sites	stops/disables both channel-7 output providers
4	buzzer_pwm_update	descriptive high confidence	0x00502790	0x005027FC	108	9790fa2e3f7afc0d453932e02246e1ede31144ab4baaf60f28b6c74f0c694e77	internal BL at 0x00502800	recomputes period and inverted duty using the 100.0f constant
5	buzzer_beep_start	descriptive high confidence	0x005027FC	0x0050280A	14	ff7c121a11f380e2f8452ded1f007b8fcaa914ff3ad6717f578a8fab6782ac79	internal BL at 0x005029DC and 0x00502CA2	updates PWM parameters then starts output
6	buzzer_beep_stop	descriptive high confidence	0x0050280A	0x00502826	28	6e6aa2f10022197dd3b18367745d46400550d127f4172c6995ac1680b9bde90e	five internal BL sites	stops output and optionally releases the buzzer resource
7	_buzzerPlayVoice	exact retained function string	0x00502826	0x005029F8	466	28963ed08159570126b14a5ed86371c6ed31628ff9b4924f760d5674081b5658	internal BL at 0x00502B54	interprets note/tone/beat triples, repeat count, interval, and terminator
8	buzzer_timer_callback	descriptive high confidence	0x005029FC	0x00502A04	8	8c75179e0b7f8e8964d7d359ac5a82b72d8ff4b10dcf5b7551f8e03461c5721c	stored Thumb pointer 0x00502D14->0x005029FD	queues input-thread event 2
9	_buzzerPlayStart	exact retained function string	0x00502A04	0x00502AC4	192	be11988f3ee75dfd11b273d38bac066948245ee45b85f9294fbf0d848a46706f	internal BL at 0x00502BEA and 0x00502C80	loads the script header/state and arms the one-shot timer
10	_buzzerPlayStop	historical semantic label plus exact behavior	0x00502AC4	0x00502AE8	36	461a04e74ffdd1379aa1da258ca61e6beb27c93592c9453528f79e2b412842c8	internal BL at 0x00502BDC, 0x00502C7A, and 0x00502C8E	stops timer/output and clears active script state
11	DRV_BuzzerInit	exact retained function string	0x00502AE8	0x00502B4A	98	7f902efbb12fff9adf5d06e656038a0ea4c5ed74511e098e4e846cd0afb73ae7	exterior BL at 0x00512E1A	configures 1 kHz/30 percent PWM and creates the one-shot OS timer
12	buzzer_play_next	descriptive high confidence	0x00502B4A	0x00502B5A	16	1efa9545e8af888b23b0cc1cc2188a84b43f85c19ec9db3860ab4bb1b76a5e6e	exterior BL at 0x0051314A	continues the active voice script when non-null
13	DRV_BuzzerPlayAfterQueue	exact retained function string	0x00502B5A	0x00502BF0	150	da61939fd91c1fdbaad194aa5ec7258960800b27123c1bfe8bdb10aa34bb39e6	exterior BL at 0x00513142	validates type below 9 and starts its 50-byte predefined voice record
14	DRV_BuzzerPlay	descriptive high confidence	0x00502BF0	0x00502BF8	8	656b82c5f0c1b20c42d54b84babb998b6c2aa6d381a6c348c0545c7039a02a98	six exterior BL sites	queues input-thread event 1 carrying a voice type
15	DRV_BuzzerPlayNote	exact retained function string	0x00502BF8	0x00502C88	144	be7d90df247d4f7dcfe6da38b89484b1571214017d5078922d6d86536d3d5762	exterior BL at 0x00583EA6 and 0x005A51E0	constructs and starts an eight-byte single-note script
16	DRV_BuzzerStart	descriptive high confidence	0x00502C88	0x00502CA8	32	f6b5b7dab50b429c0df50a18f25a91251248bb25b43fd2c44b5d73398fa81e4c	four exterior BL sites	stops scripted playback, acquires the resource, and starts raw frequency/duty output
17	DRV_BuzzerStop	descriptive high confidence	0x00502D4C	0x00502D56	10	8d6697260fc133a90bbeea89f9519e154b4af5688520b67ab7a7dc683dd3b535	three exterior BL sites	stops output and releases the resource
