stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ghidra_discovered
0x0055B2EC	0x0055B304	24	a42227963d771e226cfe04758425ac1aa9018fa67570afa10966637b47be07ff	no	yes
0x0055B304	0x0055B31C	24	f27bb984ad7e3f44171ac2530b3ba9cb716ccec6e22cf4e860c4b1e1103f00f6	no	yes
0x0055B31C	0x0055B32E	18	ea1a4fba87f8ec1a67068e0a89b5c1262b248dd537fbd3615474566b0fa9caf7	no	no
0x0055B32E	0x0055B340	18	3a9c0ce22748d70c6e825cc960de73711053bea26807b9a4a91cf09d47416d1c	no	no
0x0055B340	0x0055B35A	26	71ca9072df85355c2132e8c73137410000fb0d5a2e67a262d240cd3555d6ecae	no	yes
0x0055B35A	0x0055B374	26	c7346ae2a5c2061bed946e230ec9275a75e1c1261008077c8e96178375b365db	no	yes
0x0055B374	0x0055B38E	26	8baa565d37d42ef63255016f9535561cea434009ca8cf5a4d261fb4c8fa458e7	no	yes
0x0055B38E	0x0055B3A8	26	7d48f9ebbface9733bb7f4c9d13ce5e18563229118ea4538887de522a357d3c5	no	yes
0x0055B3A8	0x0055B3EA	66	b6e815ae43ca882e11d46ef3155b88ed52a6c1ce2f16dc2f31807f49228724a8	no	yes
0x0055B3EA	0x0055B400	22	cbd80b5a8ebec4405ebfcf883b35901bf58d6d7263f1d67cd6f3457cd16b1a69	no	yes
0x0055B400	0x0055B530	304	2e7091c76d1f5c44858d6e97a925ef8f862b054a4dfa88111bd562bb72262a7e	yes	yes
0x0055B530	0x0055B5CA	154	650cec80484924695aca01ae6947601d3c8901f873efc2b3de3f14e04e3b2fb7	yes	yes
0x0055B5CA	0x0055B5E4	26	911cfb35516a9faa6c22979cebf95073fec6e0016174f66875881dd23573287f	no	yes
0x0055B5E4	0x0055B64A	102	f24d8c6de41ae534310128995dfbf7b9154df7f851a32e861da7537833b628bd	yes	yes
0x0055B64A	0x0055B66A	32	62c3b5382ba5e71ae794881e45ce882c36e5762824c0c4b50519ea04ba9f003e	no	yes
0x0055B66A	0x0055B676	12	2b1bdace496dd1c34fff16e632fa6d6fa8d135b8e892432f0855c2053a50675b	no	yes
0x0055B676	0x0055B6A8	50	397bc1d3ca83da539f3279e40837a5b558cb9bae20366d7d045aef7db8065410	no	no
0x0055B6A8	0x0055B6DC	52	cd59a014cad155d04243bfcd2bcb933a7f775f820e7b4a7bbbca9d935fba0c1a	no	yes
0x0055B6DC	0x0055B730	84	4d4f4f3fff3e88fe919a32186993e472c313d3d848230f1ccbf3f9368b3a3223	no	yes
0x0055B730	0x0055B78A	90	9f599f8a2f2f6a197150544f7deca18437689198c33592fd1ddb2c5fc5e32d43	yes	yes
0x0055B78A	0x0055B840	182	9dfe74da5c4c4290dd5c8a5681cb5a6c319aa5cbdeee9ff9ae9b09d475a51f3e	yes	yes
0x0055B840	0x0055B92A	234	7e83bf8c3f6c37e8b004278d13c0e43c3259a4e266693afccdea4bbb1afd8ccc	yes	yes
0x0055B92A	0x0055B9C6	156	a8ad13e8158999541d9b2967fb21c387d56d1c0f8586e06f6de3ed9d6ce5936f	yes	yes
