metric	value
retained_path	driver\pdm\drv_pdm.c
linked_functions	7
ghidra_discovered_functions	7
path_anchored_functions	0
raw_path_referencing_functions	2
body_bytes	794
body_concat_sha256	914f1ef269e626898cd0ab7d233f7de377965708ab944cf7e827d3bf5853e940
physical_interval	[0x0057B704,0x0057BA88)
physical_bytes	900
physical_sha256	a863fd1454b5ba6baaffdc8e7c0ef57cef8dd5772b6c0017d5c5cb600e6b0a72
outer_pool_bytes	106
outer_pool_sha256	e802c0e7bf618df4e468d95740a8a5f5c307e26d849e793d2a3032006f7d6285
reachable_instructions	288
reachable_instruction_digest	430a5f39994cfca5158dfc5190573070029cbd97dfabe8faef8c7d79a22432b8
direct_bl_entry_sites	7
direct_bl_entry_digest	61b503c55ae2bcf0055f56093a412904574ac6dc89751097a37da86e5b37fb09
stored_function_entry_pointers	1 vector-table entry 0x00438100->0x0057B941
direct_body_calls	51
internal_direct_body_calls	4
external_direct_body_calls	47
direct_body_call_digest	2cfe264aa95b37f76c4ca38dd33eac56cdd9e7b6d856fc74a2effcdf3749a040
indirect_body_calls	0
strict_interior_ingress	0
raw_noncode_pseudo_bl	1 at 0x0067B116->0x0057B70E
path_literal_references	4
path_literal_reference_digest	545b01be3a49cb7f6f14194e06f985cfa730f1f7e0f4a073eb9d4494dd8c63de
embedded_third_party_definitions	3 CMSIS-Core NVIC helpers
third_party_dependency	CMSIS-Core and AmbiqSuite Apollo510 PDM HAL with EasyLogger and bounded IAR runtime
selected_ambiqsuite_commit	5efc0228528a8adce5eae0d226fac85d2551eb3b
private_producing_commit_observable	false
production_routed	false
