metric	value
retained_path	driver\rtc\drv_rtc.c
linked_functions	1
ghidra_discovered_functions	1
additional_recovered_functions	0
path_anchored_functions	1
body_bytes	130
body_concat_sha256	302009d8a0203801946379cd10edf6d4b4c985e76a9d9929012475b21700cc6a
reachable_instruction_bytes	130
reachable_instruction_sha256	302009d8a0203801946379cd10edf6d4b4c985e76a9d9929012475b21700cc6a
physical_interval	[0x0047EE78,0x0047EF10)
physical_bytes	152
physical_sha256	8da2c6106e20f3520a5b29ede1ffed207e3a95d3d0858813dc617183164f44f3
outer_pool_regions	1
outer_pool_bytes	22
outer_pool_concat_sha256	c279d27d840347bfcc3ebbd7b0c8327ae5e41ba5bd17d624f358425afa11613c
path_run_address	0x007149A4
path_pointer_cells	0x0047EF04
direct_bl_entry_sites	1
external_direct_bl_entry_sites	1
direct_bl_entry_digest	cc67ec76985ab60d58ad7c90f2df37cf48fca34e67ff1ff0d642bb5ba2612937
direct_body_calls	7
internal_direct_body_calls	0
external_direct_body_calls	7
direct_body_call_digest	3356645fd7d1efa7c3936bb63dd4be99700fd6e1deae9021c511a1ed6f03d226
indirect_body_calls	0
stored_entry_pointers	0
strict_interior_raw_bl_decodes	0
unrecovered_direct_object_targets	0
third_party_dependency	AmbiqSuite am_util_time_computeDayofWeek and am_hal_rtc_time_set at the selected 5.1.0 public replay plus EasyLogger diagnostics
historical_source_available	false
private_producing_commit_observable	false
production_routed	true
