metric	value
linked_functions	2
body_bytes	34
body_concat_sha256	3e9408b876d80efd450be92dcd28f209c51fba952fef4d93431198bad37f66d4
physical_interval	[0x005A4FA4,0x005A4FD0)
physical_bytes	44
physical_sha256	32c7ffcc3bff0ac19951e69f662ee02c93ede84871d98e026f65c0db3f72c5d6
owned_noncode_bytes	10
owned_noncode_sha256	b2a1b8bf327cbfd103f143d160bf78ce3b58c79a9eb8a24f4e5279a8dbb43cbc
direct_bl_entry_sites	0
direct_body_call_sites	4
direct_body_call_digest	b255e6294e444b4780d2562269a98dbe638764b5fc4c99730cc013f0c7ac0e5e
stored_entry_pointers	2 at command records 0x006C9268 and 0x006C9278
stored_pointer_digest	ee1e2e70557bbb7f17c33328e6f4c002d167d0afde14c5528283a5de01a53660
stored_strict_interior_pointers	0
raw_interior_byte_windows	0
direct_b_w_entry_or_interior_targets	0
command_records	[0x006C9260,0x006C9280) = AT^CLEANBOND, AT^BLE_KEEPCONNECT
command_records_sha256	0fe0547d78b235f3580e6956fd040824bf3248ffa7bafa6099f03db6a5d469e3
production_routed	false
ownership_bytes	0
source_inventory	unavailable; exact source path, historical symbols, license, and source-only count unknown
