record_address	type	command	handler	closed_by
0x006C9260	0	AT^CLEANBOND	0x005A4FA5	g2-eat-bond-connect
0x006C9270	1	AT^BLE_KEEPCONNECT	0x005A4FB5	g2-eat-bond-connect
0x006C9280	2	AT^BUZZER	0x005A4FD1	g2-at-buzzer
0x006C9290	0	AT^AUDIO	0x005A5489	g2-at-codec
0x006C92A0	0	AT^NUS	0x005A5521	g2-at-nus
0x006C92B0	3	AT^RM	0x005A5531	g2-at-fs
0x006C92C0	3	AT^LS	0x005A567B	g2-at-fs
0x006C92D0	3	AT^MKDIR	0x005A56A1	g2-at-fs
0x006C92E0	0	AT^INFO	0x005A5721	g2-eat-core-sensor
0x006C92F0	0	AT^RESET	0x005A57A5	g2-eat-core-sensor
0x006C9300	0	AT^PSN	0x005A57F1	g2-eat-core-sensor
0x006C9310	2	AT^IMU_RAWDATA	0x005A5831	g2-eat-core-sensor
0x006C9320	0	AT^IMU_EULER	0x005A5865	g2-eat-core-sensor
0x006C9330	2	AT^SCRN_X	0x005A58A9	g2-eat-core-sensor
0x006C9340	2	AT^SCRN_Y	0x005A58B5	g2-eat-core-sensor
0x006C9350	0	AT^ALS_READ	0x005A58D5	g2-eat-core-sensor
0x006C9360	0	AT^ALS	0x005A58FB	g2-eat-core-sensor
0x006C9370	2	AT^BRIGHTNESS	0x005A5921	g2-eat-core-sensor
0x006C9380	0	AT^ALS_SCALE_READ	0x005A593B	g2-eat-core-sensor
0x006C9390	0	AT^BRIGHTNESS_READ	0x005A594D	g2-eat-core-sensor
0x006C93A0	0	AT^TP	0x005A5999	g2-at-tp
