recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	direct_callers	evidence
1	_evenEfsReplyToAPP	exact retained diagnostic symbol	0x00456722	0x004567A0	126	2f91dbd8dd0bc8fb8e9673c65ec09ff8eddc65330f95126437e8cf57e790853c	0x00456D5C;0x004570B6;0x00457156;0x00457226;0x00457296;0x00457314;0x00457368;0x00457558;0x004575D6;0x00457678;0x00457798;0x004578DA;0x00457946;0x00457CD2;0x00457E42;0x00457EB2;0x004583DE;0x00458498;0x0045855A;0x00458AE4;0x00458CAC	builds a two-byte status payload and sends EFS control replies over BLE
2	_fileCaculateCRC	exact retained diagnostic symbol	0x004567B8	0x00456BAC	1012	dbfb110295b2848ec40ace3fff52fa7c342820edb6ba5f0ae8f0edffc96221c5	0x00458508	opens a file, streams it through the stock CRC-32C helper, and closes it on every path
3	_efsFileCmdParse	exact retained diagnostic symbol	0x00456C0C	0x004579BA	3502	f8deb03ceab804309c6fcd86fa24ce88083c0fe7e8a39144cec543844afd8f10	0x00458B74	parses import start, transfer-start, and result-check control messages
4	_efsFileRawDataParse	exact retained diagnostic symbol	0x00457A54	0x00458018	1476	2d11f8f9d4bc2d76fc6340df25478e9ad2266b1ae14d3f20dc068398e7fef345	0x00458B88	writes and verifies import chunks or accumulates Android notification JSON
5	_efsExportFileParse	exact retained diagnostic symbol	0x004580C0	0x00458B5C	2716	a63ad9d6eb66e40d5fd21752fa7c8276cc82328f047620c528bc689c2f9a03f2	0x00458BA4	opens export sources, emits metadata, streams 4 KiB chunks, and handles result/cancel controls
6	semantic_EfsFrameDispatch	semantic reconstruction from command switch	0x00458B60	0x00458BAC	76	248eeaa79dff51605677159a1bf02f445bd3479848b8dc26684328cc96d5655a	0x0048EF2E	routes frame IDs 0xC4 through 0xC7 to import, raw-data, and export parsers
7	semantic_EfsNotifyStatus4	semantic reconstruction from fixed payload	0x00458BAC	0x00458BD2	38	ce00294e14fd58ba61312362782306da97b88158f224572b596b4773afebdce9	0x004D0D7A	emits command 0xC5 payload {1,4} when invoked for raw-data frames
8	semantic_EfsNotifyStatus2	semantic reconstruction from fixed payload	0x00458BD2	0x00458BF8	38	ebbd83e4147a78783694a50f15df0a7a9cf9fefed65be54fce634a738ceed89c	0x004D0EBE;0x004D1050;0x004D1234;0x004D12D2	emits command 0xC5 payload {1,2} when invoked for raw-data frames
9	semantic_EfsNotifyStatus5	semantic reconstruction from fixed payload	0x00458BF8	0x00458C1E	38	aec9e4b4f9baf22d17d2173b6bde1a188019737a6ebfa37d1df183f60a9c8142	0x004D0F88	emits command 0xC5 payload {1,5} when invoked for raw-data frames
10	semantic_EfsTransferActive	semantic reconstruction from state offset	0x00458C1E	0x00458C30	18	ad843e1e034785b46dc6a3bb448f8ccedec247fef00946ef0365ed86d7cc25b5	0x004BF004	returns whether the shared transfer object's isStart byte is one
11	semantic_EfsServiceInit	semantic reconstruction from startup caller	0x00458C48	0x00458C5E	22	25b1ec58c0d7afa26b7e5b5b16feb7d8dbda3215f74271af32e8abf971011593	0x00442280	registers the EFS frame service during platform startup
12	EFS_CancelExport	exact retained diagnostic symbol	0x00458C5E	0x00458D34	214	fc22c145cde805453522f42a9ffefa2e1c54b61f107801f18d95b0f962159b4c	0x0048EF34	notifies cancellation, closes any export file, clears state, and disables export mode
