metric	value
retained_path	app\gui\EvenAI\even_ai_animation.c
linked_functions	5
ghidra_discovered_functions	2
additional_recovered_functions	3
path_anchored_functions	2
body_bytes	2036
body_concat_sha256	66add97130c741ac0826510fbf2e682bd282a24b64898dbfbf8c278eaeb4cdea
physical_interval	[0x005537CC,0x00554080)
physical_bytes	2228
physical_sha256	f88181d5c3a1904f72fd7294e76e60b4a990eb6ad279adbae0dbc6110e09e7e6
noncode_bytes	192
noncode_concat_sha256	39dce3a251349bfb46a19339dbeb2babf2d6b60e06eaa708d426d4e709c7731a
reachable_instructions	765
reachable_instruction_digest	e4192d83de1e0111f216f7d2ad1387315b156a6dcfbfadfe773693cc30034a31
direct_bl_entry_sites	28
direct_bl_entry_digest	544de840db04adf151ab6b86e63a2573f70b535fdc71ca6e66061c342d2a512f
stored_function_entry_pointers	0
raw_instruction_word_interior_collisions	0
direct_body_calls	80
internal_direct_body_calls	1
external_direct_body_calls	79
direct_body_call_digest	a5e00b9e71398b68f2d0fddfeed723b2a5df5a990a3c1cfe2bca1bdd902dd206
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	EasyLogger bounded IAR LVGL and one exact CMSIS-FreeRTOS seam; no embedded reusable implementation
private_producing_commit_observable	false
production_routed	false
