metric	value
retained_path	app\gui\EvenAI\even_ai.c
retained_product_path	D:\01_workspace\s200_ap510b_iar_git\app\gui\EvenAI\even_ai.c
disposition	linked-unanchored
recovery_method	corpus-gap Thumb block recovery; path literal-reference membership; whole-image ingress scans
linked_functions	7
ghidra_discovered_functions	0
path_anchored_functions	0
raw_path_referencing_functions	4
body_bytes	3466
body_concat_sha256	88926dc85dd603bc46162f4bc791cb6baa46e4b648505c697ff379f37ab49246
physical_interval	[0x004E1FD2,0x004E2E10)
physical_bytes	3646
physical_sha256	9dafacf55dbaf40d43f95a44d41e3909328ef6addfaeedd43c6add252fa2df34
outer_pool_bytes	222
outer_pool_sha256	8a4974c371601b3c719b574e439aaf2be9533cb5021e7f965d084c0598b3b077
reachable_instructions	1321
reachable_instruction_digest	003ff7fd01a063e627319fb43650b836f5926bb37204aac31b31006427d66b2b
direct_body_calls	212
direct_body_call_digest	c28c06134315d085e852d9d50154a25061406e2313680f557d13858c27add58c
internal_direct_body_calls	19
indirect_body_calls	0
indirect_body_call_digest	-
function_escapes	0
function_escape_digest	-
direct_bl_entry_sites	19
direct_bl_entry_digest	93e800b720a466b437f9f16ae2e0ac09bf3549d7582630d649f88b7dbc331467
direct_bl_strict_interior_sites	0
direct_bl_strict_interior_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_bw_entry_sites	0
direct_bw_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_b16_entry_sites	0
direct_b16_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stored_entry_pointer_words	3
stored_entry_pointer_digest	0d86975e60fb136c2dc06ba6c8a8d76febd65efc0c750057a68a1c553d09f6cc
path_string_run_address	0x0070B3A4
retained_path_pointer_cells	0x004E2A4C 0x004E2DF4
path_literal_references	14
path_literal_reference_digest	4595d9e0f494de215b72eba48175903903564abc323dc831c841414ffca1bd3b
boundary_before_16_sha256	454b4bd399a6aa39c3533ef8886bda21fd105f9682a3baf5ece4732276016b20
boundary_after_16_sha256	f8cc4ac3dc0d99e30518ca93b28ef142c0c2dca187939e5346aa2bf4a52d2d03
tag_strings	14
tag_string_digest	9377c497488ce5adf4261fb1a3c93ec467caac58295386b5dcda4b3b3a34e0f0
path_cell_outside_physical_interval	false
detached_function_blocks	[0x004E1F7C,0x004E1FA6)
production_routed	false
source_inventory	unavailable; zero-anchor census complete but source-only function count unknown
