metric	value
retained_path	app\gui\EvenHub\evenhub_main.c
linked_functions	5
ghidra_discovered_functions	4
additional_recovered_functions	1
path_anchored_functions	3
body_bytes	3130
body_concat_sha256	33242c045ce409a312c012fb02e426943bc4f235a373d017e3ace22a795e3ec0
physical_interval	[0x004E0CCE,0x004E1A48)
physical_bytes	3450
physical_sha256	0889559d01755e757ba19f70259c01b20cdeb18ada464042196ffe854a5bebac
noncode_bytes	320
noncode_concat_sha256	5cac69afc3a2e890adaf0f95f6d47508073a5b7af5619a4eda33a2a2896a1875
reachable_instructions	1193
reachable_instruction_digest	db7ce7cb52ef8e80fa93eec2787253c9a0971c846d145466f94a11adcf425793
direct_bl_entry_sites	3
direct_bl_entry_digest	18d5ce69ebdfb1752e0f4b10de5be495cbb902724e56a239b40bd984daab2dc0
stored_function_entry_pointers	2
stored_function_entry_digest	ec420d2cfc6c4e2bb8e432a6afd968aad022471d8b538511735b5161770d9615
raw_noncode_pseudo_bl_sites	1
raw_unaligned_interior_word_collisions	1
direct_body_calls	181
internal_direct_body_calls	1
external_direct_body_calls	180
direct_body_call_digest	57d927d52239f18e56f0e07a61829c8a52c5bf519b39fdd4f849cc4cad79c7c3
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	EasyLogger IAR runtime LVGL CMSIS-FreeRTOS nanopb and TLSF-backed heap wrappers
private_producing_commit_observable	false
production_routed	false
