metric	value
retained_path	app\gui\anim\expand_anim.c
retained_product_path	D:\01_workspace\s200_ap510b_iar_git\app\gui\anim\expand_anim.c
disposition	linked-unanchored
recovery_method	corpus-gap Thumb block recovery; path literal-reference membership; whole-image ingress scans
linked_functions	5
ghidra_discovered_functions	0
path_anchored_functions	0
raw_path_referencing_functions	1
body_bytes	638
body_concat_sha256	5a0e835f4ebc5984e0a0bc979aee35e39ef97f02024c3fff1867c694116bb9cf
physical_interval	[0x005B7684,0x005B7934)
physical_bytes	688
physical_sha256	de534c013144a1b6025d1edf19d244ccb123c440bce98a812202ed5babd4d861
outer_pool_bytes	50
outer_pool_sha256	99d46e082008006210732b306ade7330e095e9abf29b0d14db4d76363bda32af
reachable_instructions	271
reachable_instruction_digest	60afdf0a66a166d0c7b02d0204a632d4fe7309757cf08eb2d6f2fee4c65202f1
direct_body_calls	37
direct_body_call_digest	11bbf85c37b235fb5c28a51966a3cbc7df760a07e2c150f5fbc0d405b902fa66
internal_direct_body_calls	0
indirect_body_calls	0
indirect_body_call_digest	-
function_escapes	0
function_escape_digest	-
direct_bl_entry_sites	4
direct_bl_entry_digest	f7a7d0da75be1efeea42d6f50bd03beeae91f3578a0c91060320798765274759
direct_bl_strict_interior_sites	0
direct_bl_strict_interior_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_bw_entry_sites	0
direct_bw_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_b16_entry_sites	0
direct_b16_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stored_entry_pointer_words	4
stored_entry_pointer_digest	bac2c961f3cc2aca09167c6020dea195652ee083eb258833c2bd464c57d52248
path_string_run_address	0x0070BF24
retained_path_pointer_cells	0x005B790C
path_literal_references	2
path_literal_reference_digest	8acb0e4e8ff68083c2c282876bd6652f325146cf12871e6e8bb40625eb4aeb24
boundary_before_16_sha256	766aaf094f7ccdb1f71c5ec317dfa4d4b7c5ec9d32dbc15c67b6f3d0ee05a1f8
boundary_after_16_sha256	5c3a368eb7b875af7e48709f5ad22723c41d4c0618e82e9c744b2ad4100d2584
tag_strings	2
tag_string_digest	0efd8eb7763f9e4d5f989b03c9f1dd266199cf928f7d0535cfd2f21b9d4d1edc
path_cell_outside_physical_interval	false
production_routed	false
source_inventory	unavailable; zero-anchor census complete but source-only function count unknown
