metric	value
retained_path	app\gui\anim\fade_anim.c
linked_functions	11
ghidra_discovered_functions	5
additional_recovered_functions	6
path_anchored_functions	5
body_bytes	1678
body_concat_sha256	ff177c5f6eb70ae91f96f96ee56dc41fa3c52a03196f37b2ff9feb301d3bf86e
physical_interval	[0x0058C12C,0x0058C836)
physical_bytes	1802
physical_sha256	d7d70d0046d2519c2b1027f4119374d8acabbbbdaaada3cad0ec5ebf0ce641ad
noncode_bytes	124
noncode_concat_sha256	9c418c79e4f78b0d50c1f8f91ef3d233f744e48724ef207cb908782f1814a4f3
reachable_instructions	660
reachable_instruction_digest	a18a93efd636db809f423c7f617fc514cca789d6006cf5b8327a654a8f4b7ee6
direct_bl_entry_sites	38
direct_bl_entry_digest	51545c09199013832815624b2863138885fc1e5cc747af9f4d037960c33145d4
stored_function_entry_pointers	2
stored_function_entry_digest	76a20ae4217bb2f304d3dbdd18c2a53c189ff26205e7f2dcbe0b384745eb5a49
raw_instruction_word_interior_collisions	0
direct_body_calls	92
internal_direct_body_calls	3
external_direct_body_calls	89
direct_body_call_digest	970f05cd6cb8342488d0a58bd6e6f58176b1dcff73222af0cff2a8fa2901b208
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	EasyLogger and LVGL 9.3-compatible edges only; no RTOS seam
private_producing_commit_observable	false
production_routed	false
