metric	value
retained_path	product\s200\app\config\redirect.c
linked_functions	18
path_anchored_functions	5
raw_path_references	9
raw_path_referencing_functions	5
body_bytes	2266
body_concat_sha256	5fd2d6ab6b12aaff1ad96cccffee0c3fd5519dcdb064e684f2d8c33ec8b3ffe7
physical_interval	[0x00474550,0x00474EB4)
physical_bytes	2404
physical_sha256	594ee91b915f3aca5249480e694ffb053b17537b72fff3f1fca3e338cacbb3b7
data_regions	2
data_bytes	138
data_concat_sha256	ad115f89722dffe579521a2c9f7c3f0b5c8102f10276d94c96b26a27eae69765
reachable_instructions	864
instruction_digest	de955d35e9e218aeffd4cadc5baaccd0d07ce78b7d7c635d504966032a2d39cd
direct_bl_entry_sites	644
direct_bl_entry_digest	7cc5b01e9a58767e0b50a2857e1e47d06541d575db340d91d3f76fb8b92db279
strict_interior_bl_entries	0
stored_exact_entry_pointers	3
stored_exact_entry_pointer_digest	552a439b8468eccbfaf6976003cbece695a6a913186670303b13fd2ab821faf8
direct_body_calls	132
internal_direct_body_calls	8
external_direct_body_calls	124
direct_body_call_digest	cbeafb5f6b090240e27585fb00fff0b2572da7b7d438c7adb1f914ecc1bebc66
indirect_body_calls	0
embedded_third_party_definitions	0
production_source_owned_functions	18
third_party_dependency	littlefs v2.10.1-equivalent backend CMSIS-FreeRTOS v10.5.1 mutexes TLSF v3.1-compatible heap and bounded IAR DLIB
new_version_discriminator	false
private_producing_commit_observable	false
production_routed	true
