source_order	function	identification	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	provider_role	behavior
1	open_cfw_file_open	production source symbol and exact redirect	0x00474550	0x004745F4	164	0fc519b2dc9fcb0c7fc09ba94d99a7ff660e287d7208d1137a66d965ec3b3917	no	G2 shared file runtime	allocates a stream parses mode bits serializes backend open and cleans up on failure
2	open_cfw_file_close	production source symbol and exact redirect	0x004745F4	0x00474634	64	4460a67da774f49c6058f6e6e0ff65522b314316550e013d877a461537a76c30	no	G2 shared file runtime	serializes backend close and unconditionally frees the stream
3	open_cfw_file_read	production source symbol and exact redirect	0x00474634	0x00474682	78	9cd7a35abbba7cdeaa9ebe4c0d4c67b175cf7527faeb0921185624c10914de02	no	G2 shared file runtime	converts elements to bytes serializes backend read and returns element count
4	open_cfw_file_write	production source symbol and exact redirect	0x00474682	0x00474802	384	838a83e5d033866d6e0a10eb9ef649b1695245d4600106e14de12ee0913f501e	yes	G2 shared file runtime	serializes backend write and preserves null timeout error short-write diagnostics
5	open_cfw_file_seek	production source symbol and exact redirect	0x00474814	0x00474870	92	ea28e1cdf322e5d46f1fd377cfff275446a6d6aa713b48de19721189af59e3ec	no	G2 shared file runtime	validates origin and serializes signed backend seek
6	open_cfw_file_tell	production source symbol and exact redirect	0x00474870	0x004748B4	68	55718ee2e6b4d6b5d2c45ab93ed5a96cf932afc8eee9dc4e37e7796316013f20	no	G2 shared file runtime	serializes backend tell and normalizes negative results
7	open_cfw_file_size	production source symbol and exact redirect	0x004748B4	0x00474910	92	7e006fc51626d6aeaabca3c9961e43f1c4a02c40eaf746c309d7b412f4f05949	no	G2 shared file runtime	serializes backend size and maps invalid busy and I/O errors
8	open_cfw_file_flush	production source symbol and exact redirect	0x00474910	0x0047498C	124	3e837a7b9279eead5a48cf9ce534923979d70c55cdfba23d6749af6144f85ed0	no	G2 shared file runtime	preserves standard-stream no-op and serializes backend sync
9	open_cfw_file_remove	production source symbol and exact redirect	0x0047498C	0x00474A02	118	4a723d8c369da3a446362bb8f6f2324bac0313f8681a59c8e967edddacf791be	no	G2 shared file runtime	validates readiness and path serializes removal and treats absence as success
10	open_cfw_file_rename	production source symbol and exact redirect	0x00474A02	0x00474A76	116	bb6dfe8ee1816f7567b3e160047549078668eeb85bd68d42a6ea43c83fa126e9	no	G2 shared file runtime	validates both paths serializes rename and maps backend errors
11	open_cfw_file_mkdir	production source symbol and exact redirect	0x00474A76	0x00474B02	140	c3168afc08f9b253ccae31dc1caca8ce33546ec95f8c8bcd582e453c0aec8f09	no	G2 shared file runtime	serializes directory creation and maps exists missing and I/O errors
12	open_cfw_file_opendir	production source symbol and exact redirect	0x00474B02	0x00474BB8	182	b26d2a1e9c931f61be08ccf667d68c64854f40c83b488da325d228e31ff45fda	no	G2 shared file runtime	allocates the 0x240-byte directory object mirrors the path and opens backend state
13	open_cfw_file_readdir	production source symbol and exact redirect	0x00474BB8	0x00474C66	174	e1d54f876aa178a8419243cd9db1b8431c40aa1461be52ac87708c0cc5ace63f	no	G2 shared file runtime	reads a backend entry into the shared 257-byte dirent result
14	open_cfw_file_closedir	production source symbol and exact redirect	0x00474C66	0x00474CD2	108	8731caae564e1c1a57982f00f48fefdf5995beeffe8883a7a85d04fe5b71b60f	no	G2 shared file runtime	serializes backend close and frees the directory object
15	open_cfw_file_heap_allocate	production source symbol and exact redirect	0x00474CD2	0x00474D16	68	93d1db0d4bc0ce6f7d24cae72006911b934da0f1eab3b37889ffa436ea13fe00	yes	G2 synchronized heap wrapper	serializes TLSF allocation and diagnoses mutex timeout
16	open_cfw_file_heap_free	production source symbol and exact redirect	0x00474D16	0x00474D54	62	8706d28fe3ed25754064a77a6516ee12bc49c4ac412da1f7200c3c54f83f09b9	yes	G2 synchronized heap wrapper	serializes TLSF free and diagnoses mutex timeout
17	open_cfw_file_heap_reallocate	production source symbol and exact redirect	0x00474D54	0x00474D9C	72	51308f3c3e083fde2bf0c71d2433af3f901cbfc26e7b261d98eebdd758138944	yes	G2 synchronized heap wrapper	serializes TLSF reallocation and diagnoses mutex timeout
18	open_cfw_file_runtime_initialize	production source symbol and exact redirect	0x00474D9C	0x00474E3C	160	8c9f8a02c74261b29ee3586a73e5da8acc501ffa4a67e2cdd3a9d6dd2614800c	yes	G2 shared file runtime	creates and publishes the file and heap mutexes with diagnostics
