# G2 FreeType engine census; regenerated by tools/analyze_g2_freetype_engine_census.py
entry	body_start	body_end_exclusive	envelope_bytes	official_opaque_bytes	scope	parent_bucket	status	module	attribution	evidence	confidence	detail
0x005137B8	0x005137B8	0x005137C2	10	10	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from path-anchored functions (0x004AFCDC,0x004AFFC0); no FreeType anchor, string, or call-community evidence
0x005137C4	0x005137C4	0x005137DE	26	26	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x0051381A,0x00513850); no FreeType anchor, string, or call-community evidence
0x005137DE	0x005137DE	0x0051381A	60	60	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x0051381A,0x00513850); no FreeType anchor, string, or call-community evidence
0x0051381A	0x0051381A	0x00513850	54	54	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from path-anchored functions (0x004AFCDC); references peripheral registers; no FreeType anchor, string, or call-community evidence
0x00513850	0x00513850	0x0051388E	62	62	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from path-anchored functions (0x004AFFC0); no FreeType anchor, string, or call-community evidence
0x005138A4	0x005138A4	0x00513924	128	128	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party functions (0x004B10C0,0x004B11B0); no FreeType anchor, string, or call-community evidence
0x00513924	0x00513924	0x00513E2E	1290	1290	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence|lvgl functions (0x004B06C0,0x004B1A78,0x005202EC,0x005FA13C,0x005FA238,0x005FA7C0); no FreeType anchor, string, or call-community evidence
0x00513E4C	0x00513E4C	0x00513E56	10	10	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from path-anchored functions (0x0053F548); no FreeType anchor, string, or call-community evidence
0x00513E56	0x00513E56	0x00513E6E	24	24	frontier	investigation-required-no-evidence	investigation-required			none	none	no static caller in the corpus; candidate class/interface-record-referenced internal or dead-stripped envelope; no FreeType anchor, string, or call-community evidence
0x00513ED0	0x00513ED0	0x00513EEE	30	30	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x00513F9C); no FreeType anchor, string, or call-community evidence
0x00513EEE	0x00513EEE	0x00513F0C	30	30	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x00513F34); no FreeType anchor, string, or call-community evidence
0x00513F0C	0x00513F0C	0x00513F34	40	40	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x00513F9C); no FreeType anchor, string, or call-community evidence
0x00513F34	0x00513F34	0x00513F92	94	94	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x00513F92); no FreeType anchor, string, or call-community evidence
0x00513F92	0x00513F92	0x00513F9C	10	10	frontier	investigation-required-no-evidence	investigation-required			none	none	no static caller in the corpus; candidate class/interface-record-referenced internal or dead-stripped envelope; no FreeType anchor, string, or call-community evidence
0x00513F9C	0x00513F9C	0x0051400A	110	110	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party functions (0x004B10C0); no FreeType anchor, string, or call-community evidence
0x0051400A	0x0051400A	0x00514026	28	28	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x00514026); no FreeType anchor, string, or call-community evidence
0x00514026	0x00514026	0x0051403C	22	22	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x005147B0,0x00514B7C,0x00514D00); no FreeType anchor, string, or call-community evidence
0x0051403C	0x0051403C	0x00514046	10	10	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party|investigation-required-no-evidence|lvgl functions (0x004B10C0,0x004B11B0,0x004B14FE,0x00513F34,0x0051419A,0x00514B7C,0x00522602,0x0052261A); no FreeType anchor, string, or call-community evidence
0x00514046	0x00514046	0x00514050	10	10	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party|investigation-required-no-evidence functions (0x004B10C0,0x004B11B0,0x00513F34,0x00513F9C,0x00523BF8,0x00523C88,0x00523CE0,0x00523DBA...); no FreeType anchor, string, or call-community evidence
0x00514050	0x00514050	0x00514070	32	32	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x00514070,0x005140C6,0x005140EA,0x0051411A,0x00514148); no FreeType anchor, string, or call-community evidence
0x00514070	0x00514070	0x005140C6	86	86	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence|lvgl functions (0x004B1474,0x00513F9C,0x00514278,0x00514504,0x00514846,0x0051510E,0x0053CF78); no FreeType anchor, string, or call-community evidence
0x005140C6	0x005140C6	0x005140EA	36	36	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence|path-anchored functions (0x005142F0,0x005155DC,0x0053CF8A); no FreeType anchor, string, or call-community evidence
0x005140EA	0x005140EA	0x0051411A	48	48	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence|path-anchored functions (0x00514B7C,0x00523BF8,0x00523C88,0x00523CE0,0x00523DBA,0x00523E92,0x00523F10,0x0053D006); no FreeType anchor, string, or call-community evidence
0x0051411A	0x0051411A	0x00514148	46	46	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from path-anchored functions (0x0053D062); no FreeType anchor, string, or call-community evidence
0x00514148	0x00514148	0x0051416C	36	36	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from path-anchored functions (0x0053CF8A,0x0053D006,0x0053D062); no FreeType anchor, string, or call-community evidence
0x0051416C	0x0051416C	0x00514178	12	12	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence|lvgl functions (0x004B1474,0x00514504,0x00514846,0x00514EBC,0x00515096,0x0051510E,0x00567230); no FreeType anchor, string, or call-community evidence
0x00514178	0x00514178	0x00514184	12	12	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence|lvgl functions (0x004B1474,0x005142F0,0x00514504,0x00514846,0x00514D98,0x00567230); no FreeType anchor, string, or call-community evidence
0x00514184	0x00514184	0x0051418E	10	10	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x0051419A); no FreeType anchor, string, or call-community evidence
0x0051418E	0x0051418E	0x00514194	6	6	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from path-anchored functions (0x004B092A); no FreeType anchor, string, or call-community evidence
0x00514194	0x00514194	0x0051419A	6	6	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from path-anchored functions (0x004B092A); no FreeType anchor, string, or call-community evidence
0x0051419A	0x0051419A	0x00514238	158	158	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party|path-anchored functions (0x004B092A,0x004B0C8A,0x0059FAE0); no FreeType anchor, string, or call-community evidence
0x00514278	0x00514278	0x005142EE	118	118	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from path-anchored functions (0x004C73D6); no FreeType anchor, string, or call-community evidence
0x005142F0	0x005142F0	0x00514382	146	146	frontier	investigation-required-no-evidence	investigation-required			none	none	no static caller in the corpus; candidate class/interface-record-referenced internal or dead-stripped envelope; no FreeType anchor, string, or call-community evidence
0x00514384	0x00514384	0x005143D4	80	80	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from path-anchored functions (0x004B092A,0x0053F09C,0x0053F548,0x00540036,0x005409F0); no FreeType anchor, string, or call-community evidence
0x005143D4	0x005143D4	0x005144BA	230	230	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from path-anchored functions (0x004B092A); no FreeType anchor, string, or call-community evidence
0x005144BA	0x005144BA	0x005144FA	64	64	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party|investigation-required-no-evidence|lvgl|path-anchored functions (0x004B0C8A,0x004B10C0,0x004B11B0,0x004B1474,0x00514846); no FreeType anchor, string, or call-community evidence
0x005144FA	0x005144FA	0x00514504	10	10	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence|path-anchored functions (0x004B092A,0x005202EC,0x0053F09C,0x0053F548,0x00540036,0x005409F0); no FreeType anchor, string, or call-community evidence
0x00514504	0x00514504	0x005147B0	684	684	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x00514AEC,0x00514D2C); no FreeType anchor, string, or call-community evidence
0x005147B0	0x005147B0	0x00514846	150	150	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence|lvgl functions (0x004B1474,0x00514846,0x00514AEC,0x00514CF2); no FreeType anchor, string, or call-community evidence
0x00514846	0x00514846	0x00514AEC	678	678	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party|investigation-required-no-evidence|lvgl|rejected-oversized-envelope functions (0x004B10C0,0x004B11B0,0x004B146C,0x004B1488,0x004B14CA,0x004B1516,0x004B1548,0x00513E2E...); no FreeType anchor, string, or call-community evidence
0x00514AEC	0x00514AEC	0x00514B76	138	138	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from first-party|investigation-required-no-evidence|lvgl functions (0x004B1298,0x004B1608,0x004B1794,0x005156B8,0x00516B34,0x00516BDE,0x00516C82,0x00516CF8...); no FreeType anchor, string, or call-community evidence
0x00514B7C	0x00514B7C	0x00514CF2	374	374	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x005147B0); no FreeType anchor, string, or call-community evidence
0x00514CF2	0x00514CF2	0x00514D00	14	14	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from path-anchored functions (0x004B0C8A,0x0053F09C,0x0053F548,0x00540036,0x005409F0); no FreeType anchor, string, or call-community evidence
0x00514D00	0x00514D00	0x00514D2C	44	44	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from path-anchored functions (0x004B0C8A,0x0053F09C,0x0053F548,0x00540036,0x005409F0); no FreeType anchor, string, or call-community evidence
0x00514D2C	0x00514D2C	0x00514D92	102	102	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from investigation-required-no-evidence functions (0x00522B30,0x00522FB4,0x0052330C,0x00523674); no FreeType anchor, string, or call-community evidence
0x00514D98	0x00514D98	0x00514E0A	114	114	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from path-anchored functions (0x0053DB3C); no FreeType anchor, string, or call-community evidence
0x00514E0C	0x00514E0C	0x00514E50	68	68	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from rejected-oversized-envelope functions (0x00514F3C); no FreeType anchor, string, or call-community evidence
0x00514E50	0x00514E50	0x00514EBA	106	106	frontier	investigation-required-no-evidence	investigation-required			none	none	called only from path-anchored functions (0x004B0BEA); no FreeType anchor, string, or call-community evidence
