metric	value
retained_path	framework\fw_event_loop\fw_event_loop.c
linked_functions	6
ghidra_discovered_functions	5
restored_functions	1
path_anchored_functions	5
raw_path_references	16
raw_path_referencing_functions	6
body_bytes	1806
body_concat_sha256	5737c580b89b68aa67efc2663029f956ad064faadd9ab4bee6886176f42fd087
physical_interval	[0x004764E0,0x00476CBC)
physical_bytes	2012
alignment_bytes	2
outer_pool_bytes	204
physical_sha256	0bbcc801083fbb26cfc647b82baec5f80c099e555ab8e17a6b1370695f88dd5f
direct_bl_entry_sites	198
direct_bl_entry_digest	a1febb941c19ba0ac529e4307b3088cdee2d76642a127b5174e157d15a78022a
stored_entry_pointers	0
direct_body_calls	108
internal_direct_body_calls	4
external_direct_body_calls	104
direct_body_call_digest	4e2c6ed35e27627fbc7bdc995e88f3b84f70d1f214c855ab91970595cf3087af
indirect_body_calls	1
bounded_indirect_body_calls	1
strict_interior_ingress	0
raw_interior_word_collisions	1
third_party_dependency	CMSIS-FreeRTOS, FreeRTOS critical-section port, and EasyLogger only
historical_source_available	true
private_producing_commit_observable	false
production_routed	true
source_routed_functions	6
