stock_start	stock_end_exclusive	stock_sha256	source_path_anchor
0x00471164	0x004711B2	4c493cf57d3a09cf9ba711a8710c07c535eade2576ced8143d5a37fadcd775d1	no
0x004711B2	0x0047121C	18ac800371f5f2390ee6b2b79e534f16255d1d2bc6c4f9c9c40e2dc253b796c9	yes
0x0047121C	0x00471224	d8d03d3f39a66fc1d580cf8cd3b84730bf6a6829d350b5d67114e01210aeb831	no
0x00471224	0x00471316	d059022f303086b860dad2020047d45266e26a2487f4bcb302501d553b49671d	yes
0x0047132C	0x0047142A	07688b85e2c417d6732374d0c3dec0c0ac1047f2a3001250694bae3a8157da3c	yes
0x0047142A	0x00471528	c7b1a85ab3b4a7150700fc4b91880e0b78f774a522f1919c6d1a00706794862f	yes
0x00471528	0x00471554	04262291a3092bf34d9387e403217a8fc8d62097f1f02bf66c15dee5884ee597	no
0x00471554	0x00471608	0fccc7f9bef352bb9a6ced2d2a553e5ae36a1443de60e9b460f9682c195c6c2d	yes
0x00471608	0x004716BA	e6f95e6540a225ec97a3f6ab5eda68aa6b25ccc6d068f2ce568ced95f8e86dd4	yes
0x004716BA	0x00471AC2	59ff2e4988d940094511b57e1149d55376163cda18f43412273e138f36fe9200	yes
