metric	value
retained_path	app\gui\common\generic_animation.c
linked_functions	17
ghidra_discovered_functions	4
additional_recovered_functions	13
path_anchored_functions	4
body_bytes	1622
body_concat_sha256	19729856a2eee1fa110ecde868db1eb6fa03c2dcb43ff8ae8e845de25db99f6d
physical_interval	[0x00463C68,0x00464330)
physical_bytes	1736
physical_sha256	b0217ae743fa75b234c7e39e8157b5ccddc78b3f4ac00343f542f2304b714324
noncode_bytes	114
noncode_concat_sha256	5c3fa924f1f5d79b44ee28e5c4aea2330d8be4fe3054b462804b4d3b87feec2b
reachable_instructions	684
reachable_instruction_digest	378507228e85ecfe97046182f711511f07223cb2679fa21ee8eb8fbe45a07c9c
direct_bl_entry_sites	90
direct_bl_entry_digest	f8742cf0e2356e5e3495a36f8fcdd7f3818025571674b113f998fac6ce5deffe
stored_function_entry_pointers	4
stored_function_entry_digest	bc463910df5a0e2619df59692c7b9e3d7b8cef30bd5646a4aed06e6b28b44d5e
unaligned_start_word_collisions	5
unaligned_start_word_digest	7cc6b177d5654f1d400a9671006cd1112e0b796d4ab819e9d72bd85fc5a6b616
raw_instruction_word_interior_collisions	32
raw_instruction_word_interior_digest	46bec2ff0659fc693babb6f23cd19063f85fd9e1341c218940f8bb89449bb89c
direct_body_calls	82
internal_direct_body_calls	2
external_direct_body_calls	80
direct_body_call_digest	7533a27f6d539914a157f6e6c87b7691fd7f1f2db81b79a490151497ea973c4a
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	EasyLogger bounded IAR and LVGL edges plus production source-owned TLSF heap wrappers; CMSIS-FreeRTOS osKernelGetTickCount is the sole RTOS seam
private_producing_commit_observable	false
production_routed	false
