stock_start	stock_end_exclusive	stock_sha256	source_path_anchor
0x00463C68	0x00463E1C	cf0928e1c283aacb5f205b7d361b0e596ebcd9266e26bcf72c4f988af3897067	yes
0x00463E1C	0x00463E9A	9f9a9e5c2f44c9cf1eeef11c6c81e6e1e3522bc031976ac0c272942244c9125e	yes
0x00463E9A	0x00463EA6	b7841ecf460b2a8a7d817ff1f10cc74945df261e3e75cae6f68397b84ac349ca	no
0x00463EA6	0x00463EEE	c2ae0fbed2f817a969b2b706cb9a3be3e458b47357ff1f52404802417d93ef35	no
0x00463EEE	0x00463F34	814865d979b680f7121e21fc11fe6add3681c5a2d06e4b95fc2ee72e5168ac4e	no
0x00463F34	0x00463F5C	a3136ef61422b15f878c3dc5171e4e7bbd2e0a0bd21a8846aa289809a898e0ee	no
0x00463F5C	0x00463FA4	69d18989904520f09271cae470dfa19e473a51afdddef543a8958657015eb281	no
0x00463FA4	0x00463FB0	5f5e0353ab19242c4602755d7d0371071b0fab948695094cb45b8c2cf2eb0cfe	no
0x00463FB0	0x00464008	5ab24ed4b23b5772593250c333c5d2c338d374b554c2f5366a6f071fe42ed74c	no
0x00464008	0x004640C0	9801c09b5737ce5adf8576afe6126b9590d146ce640542f23a62929082a5e7fe	no
0x004640C0	0x004640FE	619ac19d479879a2a03ce225ec99034d11d84b2eb6404b145baa4d02b020a0d7	no
0x004640FE	0x0046410A	dcbcebe473ae816a8d46656ac538420261a748f32b81ea654f5236c69f76621e	no
0x0046410A	0x00464152	8e346a91e7d3054082d2f416a225ce4537a7c0bd1b4246c3524dc43365e150a0	no
0x00464152	0x0046415E	b1d0b668be315980aed88d8195cf8949dc91cd5dd17649af12dfddd30d5fd0c1	no
0x0046415E	0x004641B6	387caea89afb597f513867f13e98264f20e2e14ca5acb33796f3c26b1dba1bab	no
0x004641B6	0x00464242	519cd45fbc70c4f07349efb3d1046bbc94598c82013d286a2614f6b3637a330a	yes
0x00464242	0x004642BE	edd41b28707301aff638f9060880763c13e8e1e137b0b7fd11686d5cb14a26c1	yes
