metric	value
retained_path	driver\hal\src\hal_i2c.c
linked_functions	9
path_anchored_functions	1
body_bytes	1584
body_concat_sha256	6f9a3c1699144e9395ca13118e76654195e533109354d79957b5be4277639d21
physical_interval	[0x0050412C,0x00504784)
physical_bytes	1624
physical_sha256	b3ce16cc70dc0e086a14365d8c72705ce278ddcc983345645eea538cef8290ed
outer_pool_regions	1
outer_pool_bytes	40
outer_pool_concat_sha256	66f83bb5a9fc3deb303054c063c1b9ac6777cb141f1f52b0bbea245e5ffb9b8f
direct_bl_entry_sites	35
direct_bl_entry_digest	d307d2987cc40d8cb9f595d4181b8a5b7387862913a2466116ef5d592a7fbdcf
stored_entry_pointers	1
stored_entry_pointer_digest	9256a4e77411ced721e1c04fecfcb415c4e4832b3a0d671db18c9f678c441072
direct_body_calls	65
internal_direct_body_calls	15
external_direct_body_calls	50
direct_body_call_digest	b8876ff289773233655c6a3f09b69d167e4c9b8e743e0e9d68315b0213279523
indirect_body_calls	0
unrecovered_direct_object_targets	0
third_party_dependency	AmbiqSuite Apollo510 IOM/GPIO, CMSIS-FreeRTOS, EasyLogger, nanopb, and bounded IAR DLIB
historical_source_available	false
private_producing_commit_observable	false
production_routed	false
