index	name	identity	entry	end_exclusive	size	sha256	path_anchor	direct_entry_callers	stored_pointer_cells
1	semantic_bus_read	semantic; raw Thumb-restored entry	0x004A35B0	0x004A35EA	58	1d463b350f4163b5f6c5cb8e4286354455b4cbff18c773457cef6beb2215eb22	false	0	1
2	semantic_bus_write	semantic; raw Thumb-restored entry	0x004A35EA	0x004A360E	36	d7c3e81cb735bba859e65b984e578c56673c30242b596a99132e8aaafc0621fc	false	0	1
3	semantic_filter_init	semantic; raw Thumb-restored entry	0x004A360E	0x004A3648	58	b021716c59c65dbd242abe523e992b6b4d55c4e7e0e3b3e53d3570c5d6b680b1	false	1	0
4	semantic_filter_update	semantic; raw Thumb-restored entry	0x004A3648	0x004A36AE	102	e249766302a4cfd66e92ec40d897ee109a975e27fb61dc5a3f5522956ae60b75	false	1	0
5	semantic_device_context_init	semantic; raw Thumb-restored entry	0x004A36AE	0x004A36FC	78	30bd70dd51d60c9ecbf5df093593b2a892b5546b9a65e982a0410e49898053f8	false	1	0
6	semantic_apply_odr_config	semantic; raw Thumb-restored entry	0x004A36FC	0x004A37E0	228	abd592772ee1f6d9119ae28569565223942d1dbecee4a27204eddbc7964bf149	false	1	0
7	DRV_IMUSetSensorParameters	exact retained diagnostic symbol	0x004A3820	0x004A457C	3420	69a117a65f065f0021c87aee96519fdbdc5eacb989da354df80027f7fd4b3df8	false	1	0
8	semantic_sensor_power_cycle	semantic; raw Thumb-restored entry	0x004A4590	0x004A45B0	32	7913614574b366021ee372082b11195012817b4d837db38e33310a5dfd6a4036	false	1	0
9	semantic_sensor_reset_line	semantic; raw Thumb-restored entry	0x004A45B0	0x004A45BC	12	222f4c4512cff76be8650efe96efdde3d8f9487999d9814fe69b963389def185	false	2	0
10	semantic_imu_init	semantic; raw Thumb-restored entry	0x004A45BC	0x004A45FC	64	2eb26412523396b68631da79028cdcd27ab1ed160461135b70e0393166125d28	false	1	0
11	semantic_set_orientation_matrix	semantic; raw Thumb-restored entry	0x004A460C	0x004A46B0	164	eb7fb1b0a03d0c5ee0cf2ec5d2925c82be8399d93bdd7f7fc50ecfcbbd1cc00f	false	1	0
12	IMU_AIDStatePrint	exact retained diagnostic symbol	0x004A46B0	0x004A4822	370	3aabc16556cda37d08d242b172f4e7d76762a055cb4e141781c47322ba765e93	true	2	0
13	semantic_get_aid_enabled	semantic; raw Thumb-restored entry	0x004A4822	0x004A482A	8	80cafaeb7781e12fcbacc32b221cf252b35086db56efab37939f85025e85478d	false	1	0
14	IMU_AIDStateUpdate	exact retained diagnostic symbol	0x004A482A	0x004A496A	320	b8efa863bd91f355741ed05eb453ca984b718189469a3ba570bf2934dc12a0eb	true	2	0
15	DRV_IMUReadData	exact retained diagnostic symbol	0x004A499C	0x004A4E8C	1264	560fc431fe56e2fbf26cdab2de8a15ed04590e0c03e169bac3fa440b40144336	false	1	0
16	semantic_set_motion_threshold	semantic; raw Thumb-restored entry	0x004A4E8C	0x004A4EC0	52	e463d018e0fddf936c3bc43398e369d1a21bbf2cd881376994dd8961cb36df34	false	1	0
17	semantic_set_motion_period	semantic; raw Thumb-restored entry	0x004A4EC0	0x004A4ED0	16	068df412a7084b6e7724f2c954a05c4accf70bd223888c2e7ca56204f38242b8	false	1	0
18	semantic_emit_imu_event	semantic; raw Thumb-restored entry	0x004A4ED4	0x004A4EFE	42	b82167967ece05968329845ddb1fc3772497b32260abeb26ec1c847d1874c5c5	false	4	0
19	DRV_IMUCheckHeadUpEvent	exact retained diagnostic symbol	0x004A4EFE	0x004A50CE	464	2210f54d6062bc7bbdd279c2f6fad9c651e655a41406b5e0d4f94db5f09cc78f	true	1	0
20	semantic_normalize_heading	semantic; raw Thumb-restored entry	0x004A50FC	0x004A5114	24	d2fb566f7f13d660d1f9a399e0a3fc90768c0935c36e767ab1233fc4df6e3c31	false	1	0
21	DRV_IMUCheckCompassEvent	exact retained diagnostic symbol	0x004A5114	0x004A528E	378	5a21adea11db4412dd25f0ec7de4f72acc9c82619c5f8048904dd493c8ac6bfb	true	1	0
22	semantic_noop_sample_callback	semantic; raw Thumb-restored entry	0x004A52A0	0x004A52A2	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	false	1	0
23	DRV_IMUAccelConfig	exact retained diagnostic symbol	0x004A52A2	0x004A5308	102	697fa44e21c65b0985bff96877d24e08d8fb79a6c694cd29f7c9f6ae9328d01a	true	1	0
