metric	value
linked_functions	3
source_only_functions	0
body_bytes	338
body_concat_sha256	a215781fb9f1596bd1bd35cf3602e02575418a1d62fd62649ccbfaee6dc806f7
physical_interval	[0x004AECA4,0x004AEE28)
physical_bytes	388
physical_sha256	441f205adb26893cd98b4edcc5802512ee42f427740f113bd037c07068a98800
owned_noncode_bytes	50
owned_noncode_sha256	993a796bad367c61812f298987719535ffab680d11fc1bdfe88d66cdc2a2b41e
direct_bl_entry_sites	3
direct_bl_entry_digest	ed9e86ccb9820f7ba47627406836af91d69cd8bca3b3644bbe582edbcbd01372
stored_entry_pointers	2
stored_entry_pointer_digest	1ce1da60e334331e2c970862665292b0b882b5f57f4cd0ba0e5f05788267cea5
direct_body_call_sites	21
direct_body_call_digest	085c0a2bc45507b8d777fecadfa96bf3fb3ce0342cbe5f232a3fd5bb10bb19e7
legitimate_direct_bl_strict_interior_targets	0
raw_interior_byte_windows	0
retained_path	D:\01_workspace\s200_ap510b_iar_git\platform\service\flashDB\kv\service_kvdb_als_scale.c
factory_record	0x200037BC / 12 bytes / 010000000004000000000000 / initialized CRC 0xAA2D
