metric	value
linked_functions	6
source_only_functions	0
body_bytes	286
body_concat_sha256	16069fe85f9c1bc5e5bd94870e699c63f560ac3a8b9bf8047b821c4cf406e986
physical_interval	[0x004A777C,0x004A78D0)
physical_bytes	340
physical_sha256	5e36bd2e41d5291d353576207da6c5584405af347f3af9a32503c3f40fdd9362
owned_noncode_bytes	54
owned_noncode_sha256	6b23e391dd71beb890ab659a1e92d9a1b832d9ff211e43a26befec099c8eb8b6
direct_bl_entry_sites	18
direct_bl_entry_digest	5b072e0f155de73595f9351cabb91645d1ac0515dbe85f93fc106bc737c8a303
stored_entry_pointers	0
stored_entry_pointer_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_body_call_sites	20
direct_body_call_digest	b39cd033976f3858f69145efa101983e416ca5a82b61a7c1678ece2c497229b1
legitimate_direct_bl_strict_interior_targets	0
direct_b_w_entry_or_strict_interior_targets	0
raw_interior_byte_windows	0
retained_path	D:\01_workspace\s200_ap510b_iar_git\platform\service\flashDB\kv\service_kvdb_onboarding_config.c
factory_record	0x20000040 / 1 byte / 00 / no version or CRC
