metric	value
linked_functions	3
source_only_functions	0
body_bytes	796
body_concat_sha256	890a82e4756f95ebeb75bd253b5c2914b58fc7f30b125ea0589a1832153bb5ad
physical_interval	[0x005D9B6C,0x005D9ED0)
physical_bytes	868
physical_sha256	2b319f20a4542cc7e036eb7cb6264af5c571139de15657518826b13275f2c489
owned_noncode_bytes	72
owned_noncode_sha256	07247fcbdc0c0332c261c8661b6b2cfabe213472e8ef613a7b467e892b6ad990
direct_bl_entry_sites	2
direct_bl_entry_digest	a42429415acd2b39f639efdb5cd0d3aa38cdce1730fb17e2e955cca4dc840ead
stored_entry_pointers	2
stored_entry_pointer_digest	3358a01155136d77e711a27b4c3b975fb19f657d0064d7080ee6efd2f922091b
direct_body_call_sites	45
direct_body_call_digest	3b4a4d6b0239e40000cb8370a7770cef869d495dc82beebc955401a40630663b
legitimate_direct_bl_strict_interior_targets	0
direct_b_w_entry_or_strict_interior_targets	0
raw_interior_byte_windows	0
retained_path	D:\01_workspace\s200_ap510b_iar_git\platform\service\flashDB\kv\service_kvdb_ring.c
factory_record	0x200037C8 / 24 bytes / 01ffffffffffff4556454e2052315f464646464646000000 / initialized CRC 0x06D4
