metric	value
linked_functions	3
source_only_functions	0
body_bytes	494
body_concat_sha256	cf04cb41b7fc34e0d6a00c30478062f7a33bb00e7720b87a7124a678e0741c5c
physical_interval	[0x00585618,0x00585840)
physical_bytes	552
physical_sha256	ce83c1da7ce27e3198cb0c5119e5b7a9108c4f25a07577da9820f1bb76f9740c
owned_noncode_bytes	58
owned_noncode_sha256	8b82dc276f31c9220d8773f1ea0a8556b72bc6ac19ec5651e7927e355b53c264
direct_bl_entry_sites	3
direct_bl_entry_digest	bfa780956afb5e3a58b886454190217618d5e4482f8773d61f9fc1c58b328bc6
stored_entry_pointers	2
stored_entry_pointer_digest	6494da27a229c6e6c2abb7b5a61254cb8b26a8cef01b327870e329a79dd6f47a
direct_body_call_sites	31
direct_body_call_digest	11a8acaebc3001cf46136210d554ce6f066f3c0ab21df4ab33b9fef8d2e93657
legitimate_direct_bl_strict_interior_targets	0
raw_interior_byte_windows	1 accidental unaligned packed-string window at 0x0078F39F -> 0x00585700
retained_path	D:\01_workspace\s200_ap510b_iar_git\platform\service\flashDB\kv\service_kvdb_time.c
factory_record	0x2000380C / 12 bytes / 010000002b2d376820000000 / initialized CRC 0x18F0
