metric	value
linked_functions	3
source_only_functions	0
body_bytes	338
body_concat_sha256	b08b331f35aab05b6b15d5ec7b56b44b0c0db4e82d3e47889df6473ad650a7ea
physical_interval	[0x0049AE90,0x0049B014)
physical_bytes	388
physical_sha256	e75b4c89bfb846c04e656ec8def696f8565097e80319cfb4d9921e23282c32bd
owned_noncode_bytes	50
owned_noncode_sha256	a570f5d14600d8a84a59231ee9f45168d18bd7f5b8846e379e5a67e5f2c9cf6d
direct_bl_entry_sites	3
direct_bl_entry_digest	629e20a1764fd8e44690610b69f2a3073cd509e057c4da2220ab31917e362804
stored_entry_pointers	2
stored_entry_pointer_digest	96229db33a44dc25f50d3d9bdef70aa7d47f0fecad999298bd777dd756c5c75e
direct_body_call_sites	21
direct_body_call_digest	e309f3bb68d65ee1def6a6eaaa75af16b10a7eca5fae827c549fe5dc86399cbe
legitimate_direct_bl_strict_interior_targets	0
raw_interior_byte_windows	0
retained_path	D:\01_workspace\s200_ap510b_iar_git\platform\service\flashDB\kv\service_kvdb_time_format.c
factory_record	0x20003818 / 12 bytes / 010000000000000000000000 / initialized CRC 0x76ED
