metric	value
linked_functions	3
source_only_functions	0
body_bytes	340
body_concat_sha256	0c7b17a6828276160a44ec967144a55e1acf465153aded28414832c7df06eea6
physical_interval	[0x0049AD0C,0x0049AE90)
physical_bytes	388
physical_sha256	a8c3b7fe6bb4fa598fc9b206a8b4aea9f92a46c5684a2f906f2e81ed3f06be96
owned_noncode_bytes	48
owned_noncode_sha256	d01ff95edc07073d88c037556948b0f21c7080d6331bae5584551a20314f5901
direct_bl_entry_sites	3
direct_bl_entry_digest	e3fcbbf5b9c8db6a7064f29e5b168eb92b17e041b14f0f559e744e8df753df9a
stored_entry_pointers	2
stored_entry_pointer_digest	d3776b1ede1a7dbdaeacfb81ffcb6aa862670460c82762ac8138bfa0b05aa390
direct_body_call_sites	22
direct_body_call_digest	406a09fe0fcc8a138282f34216c890c198702d6cd7406baee3f153d07ce4f33b
legitimate_direct_bl_strict_interior_targets	0
raw_interior_byte_windows	0
retained_path	D:\01_workspace\s200_ap510b_iar_git\platform\service\flashDB\kv\service_kvdb_universal_setting.c
factory_record	0x20003824 / 20 bytes / 030000000100000000000000ffffffffffff0000 / initialized CRC 0xA967
