metric	value
family	Google liblc3
origin	https://github.com/google/liblc3
license	Apache-2.0
selected_version	v1.1.3
selected_source_commit	96a3af0beb5487aca3b98a4b992a539a1f6d80d1
selected_tree	d5613b74b5d271bb7b263d85d1b9b913b4dfb74b
earliest_proven_compatible_commit	bb85f7dde4195bfc0fca9e9c7c2eed0f8694203c
latest_proven_compatible_commit	1de85e2d9b8f8f3dffb50f70881b3475bbdfb803
first_excluded_successor	9f1e206b34546e858e11065151ae38ff4efc4c77
stock_public_entries	4
stock_direct_entry_calls	5
stock_direct_entry_call_digest	36909f9489dab1c8f1ef70c8e1e6734fd037f6bded774d1235c2065cc37857b6
stock_sns_flt_max_address	0x0059A9AC
stock_sns_flt_max_bits	0x7F7FFFFF
stock_encoder_dt_offset	0
stock_encoder_sr_offset	1
stock_encoder_sr_pcm_offset	2
snapshot_files	38
snapshot_manifest_sha256	082385608437fbb327afd891c85ca678d2b23f20ac6fe647c3f3079f7e4ca3c5
exact_public_commit_recoverable	false
exact_private_checkout_recoverable	false
production_routed	false
