metric	value
retained_path	app\gui\common\lvgl_font_manager.c
linked_functions	8
ghidra_discovered_functions	8
additional_recovered_functions	0
path_anchored_functions	7
body_bytes	2590
body_concat_sha256	f92e57b0ab1bda61b008095d44a8136d19f7f784d49a6497d8cad4b092c1c3e2
physical_interval	[0x0046CAE0,0x0046D67C)
physical_bytes	2972
physical_sha256	49b22952decc2e1a561f87928b8d59ea68fd21ac70de46225a2aee2f6be3b3a3
noncode_bytes	382
noncode_concat_sha256	29e7e2c153aefaa2aa5fc6fae57be48090c77c30da0a5325b78891e5dc5c22e9
reachable_instructions	973
reachable_instruction_digest	59c7c85e6d5172a6cb944f154575c5a624b91b4b32e0b2e377bace1912a8a950
direct_bl_entry_sites	12
direct_bl_entry_digest	c72c61f3b3124d72cc796f1726f07f05fe2a2edcb6c244b4451d322647ad3145
stored_entry_pointers	0
direct_body_calls	149
internal_direct_body_calls	9
external_direct_body_calls	140
direct_body_call_digest	7e6275d8832f2d33facf78cde5c5e7b90056af228ab9123efb576e7efdaab5de
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	EasyLogger LVGL FreeType adapter exact FreeType 2.9.1 bounded IAR DLIB closed MSPI lock and source-owned heap wrappers
private_producing_commit_observable	false
production_routed	false
