metric	value
retained_path	app\gui\MessageNotify\message_notify.c
retained_product_path	D:\01_workspace\s200_ap510b_iar_git\app\gui\MessageNotify\message_notify.c
disposition	linked-unanchored
recovery_method	corpus-gap Thumb block recovery; path literal-reference membership; whole-image ingress scans
linked_functions	4
ghidra_discovered_functions	0
path_anchored_functions	0
raw_path_referencing_functions	3
body_bytes	1016
body_concat_sha256	0bcd611d6acfeab2b256a8ff69f08eaa1bccde7166d39fcffac410f6da59d677
physical_interval	[0x004E1B30,0x004E1F7C)
physical_bytes	1100
physical_sha256	fe888bb5f070412e1f88a98ccf33488957349131e67d468e47431f915ebf5eab
outer_pool_bytes	84
outer_pool_sha256	4b8b9f1510f0c9f91911e45f09b58a924ece88ffd12f84b4141fe6051b6afce1
reachable_instructions	422
reachable_instruction_digest	1f0274fbfb5ca70019042ce1e96ada18961a03a0677121672a88e363336e71ea
direct_body_calls	62
direct_body_call_digest	3013ded9b244ec55c07e13408f6bcecf7835a8a9658ac8921f20240a5d1c137c
internal_direct_body_calls	1
indirect_body_calls	0
indirect_body_call_digest	-
function_escapes	0
function_escape_digest	-
direct_bl_entry_sites	1
direct_bl_entry_digest	16b27d62eac24f906bb8cc163892d3ab319ba848c6546b0e6f793350948c975c
direct_bl_strict_interior_sites	0
direct_bl_strict_interior_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_bw_entry_sites	0
direct_bw_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_b16_entry_sites	0
direct_b16_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stored_entry_pointer_words	2
stored_entry_pointer_digest	fd9c723c9b293e25eac1fedbfe4c246a11fe9c1446d22041fa6a515b52afbccf
path_string_run_address	0x006F45B8
retained_path_pointer_cells	0x004E1F38
path_literal_references	5
path_literal_reference_digest	130138856d1b41452ccbde8b5141aa5dd1269101275ec5d4b248df1462c11604
boundary_before_16_sha256	f638a1362edbed495ad05559f7ee21ff5c4a63b90662df9f52ae0f6ea8d2a644
boundary_after_16_sha256	35fb98b6838cb892d16f152f96acf04165d418177cee5276f1a32d55a4f68eed
tag_strings	5
tag_string_digest	6dfe6ec86fe0588c903b682613e698df00bba8148ec7079db5cde18f0e74b1e6
path_cell_outside_physical_interval	false
production_routed	false
source_inventory	unavailable; zero-anchor census complete but source-only function count unknown
