# G2 Apollo mixed-evidence boundary-role map; regenerated by tools/analyze_g2_boundary_envelopes.py
entry	body_start	body_end_exclusive	envelope_bytes	official_opaque_bytes	seam	boundary_role	confidence	inbound_seed_callers	outbound_call_edges	adaptation_flow
0x0044AAA8	0x0044AAA8	0x0044AAE0	56	56	cmsis-freertos|first-party	g2-rtos-service-glue	medium	easylogger=1	cmsis-freertos:0x004490CC|first-party:0x0044A19A	first-party service code calling CMSIS-FreeRTOS wrapper entries
0x0045383C	0x0045383C	0x004539B6	378	378	first-party|lvgl	g2-lvgl-ui-adapter	medium	lvgl=1	first-party:0x0048949C|lvgl:0x0048AD42	first-party UI code calling LVGL vendor-fork services
0x0046C984	0x0046C984	0x0046C9AA	38	38	first-party|lvgl	g2-lvgl-ui-adapter	medium	first-party=5	lvgl:0x0047381E|first-party:0x00474066	first-party UI code calling LVGL vendor-fork services
0x0046C9AA	0x0046C9AA	0x0046C9D0	38	38	first-party|lvgl	g2-lvgl-ui-adapter	medium	first-party=5	lvgl:0x0047381E|first-party:0x00474066	first-party UI code calling LVGL vendor-fork services
0x0046C9DC	0x0046C9DC	0x0046CA14	56	56	first-party|lvgl	g2-lvgl-ui-adapter	medium	first-party=4	lvgl:0x0047381E|first-party:0x00474066	first-party UI code calling LVGL vendor-fork services
0x004736F4	0x004736F4	0x00473782	142	0	first-party|lvgl	g2-lvgl-ui-adapter	low	-	lvgl:0x0047366C|lvgl:0x0047381E|lvgl:0x0047386A|first-party:0x00474066|lvgl:0x0048ABB8	first-party UI code calling LVGL vendor-fork services
0x0047DCB4	0x0047DCB4	0x0047DCE4	48	0	cmsis-freertos|first-party	g2-rtos-service-glue	low	-	cmsis-freertos:0x0044906C|first-party:0x0044A1EA	first-party service code calling CMSIS-FreeRTOS wrapper entries
0x004AAB90	0x004AAB90	0x004AAE20	656	656	first-party|lvgl	g2-lvgl-ui-adapter	low	-	lvgl:0x0043DE82|lvgl:0x0043DED4|lvgl:0x0043DFA4|lvgl:0x0043F506|lvgl:0x0043F568|lvgl:0x00498680|lvgl:0x0049942E|first-party:0x004A856C|lvgl:0x0050EA28	first-party UI code calling LVGL vendor-fork services
0x004AB08C	0x004AB08C	0x004AB6B6	1578	1578	first-party|lvgl	g2-lvgl-ui-adapter	low	-	lvgl:0x0043DE82|lvgl:0x0043DED4|lvgl:0x0043DFA4|lvgl:0x0043F09A|lvgl:0x0043F0E0|lvgl:0x0043F142|lvgl:0x0043F4C0|lvgl:0x0043F506|lvgl:0x0043F568|lvgl:0x0043F6D6|lvgl:0x0044E368|lvgl:0x00498680|lvgl:0x0049942E|first-party:0x004A856C|first-party:0x004A9D70|first-party:0x00509F7A|first-party:0x0050A47E|first-party:0x0050DCBC|first-party:0x0050FEF8|first-party:0x0050FF0E	first-party UI code calling LVGL vendor-fork services
0x004B42F0	0x004B42F0	0x004B43F8	264	264	cordio|first-party	g2-cordio-application-callback	medium	ambiqsuite=1	first-party:0x0046EFEC|cordio:0x004B3166|cordio:0x004B31EA|cordio:0x004B3292	AmbiqSuite/Cordio-invoked application code calling Cordio and first-party services
