metric	value
retained_path	app\gui\navigation\navigation.c
retained_product_path	D:\01_workspace\s200_ap510b_iar_git\app\gui\navigation\navigation.c
disposition	linked-unanchored
recovery_method	corpus-gap Thumb block recovery; path literal-reference membership; whole-image ingress scans
linked_functions	5
ghidra_discovered_functions	0
path_anchored_functions	0
raw_path_referencing_functions	2
body_bytes	1744
body_concat_sha256	a9e46022cff0a5f335e76b3dcb7f765763fc27eaea7e6d972035256682e03671
physical_interval	[0x00585CBA,0x00586448)
physical_bytes	1934
physical_sha256	525c1ba41bb786b33a1918e90c53f50dcc6cb48fc0f13044820967a2dbc9b0eb
outer_pool_bytes	190
outer_pool_sha256	f60e4e234a15a1b310908db7a6f1c36f5c55b49ec52b082a9015ec04c4c5ffea
reachable_instructions	687
reachable_instruction_digest	795ab565b2fad3396f279a20f0f719e5c4155cee9933d939d8f6039a68277b6e
direct_body_calls	104
direct_body_call_digest	a2a5967969945cfaaf2f3665b7551042c396ef54ce0a1da07b036debfd27078f
internal_direct_body_calls	0
indirect_body_calls	0
indirect_body_call_digest	-
function_escapes	0
function_escape_digest	-
direct_bl_entry_sites	2
direct_bl_entry_digest	3154d9589709f9a80f10d1692812065217dfd39d849a79f7e8108f2615fbc793
direct_bl_strict_interior_sites	1
direct_bl_strict_interior_digest	cc04d3a39074c2d2b832124cdb5cebcb07a458ccf47245b46d0ac91413addbda
direct_bw_entry_sites	0
direct_bw_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
direct_b16_entry_sites	0
direct_b16_entry_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stored_entry_pointer_words	2
stored_entry_pointer_digest	a54fe9d5cbc2613d580e416f71484cc932ab0a6a7eb1ff539b46deae90d0c31d
path_string_run_address	0x00703C64
retained_path_pointer_cells	0x005863A8
path_literal_references	10
path_literal_reference_digest	2f5183aedad6d7aeff02896c80da60579c1dbf146eb1e39afb910d7d4691b9b8
boundary_before_16_sha256	d74c53767b1d6eaeecf916933d8741c2bd8118b6b739eff0b2c58e4d1839b570
boundary_after_16_sha256	85f51ebb9de565700608b681ec3455d4b2997b6264f1f92791a6bdeae27677e8
tag_strings	9
tag_string_digest	e9385b9b352d9a61fd82510f97256b637cfa8211fa9339f68e5220ad4279d040
path_cell_outside_physical_interval	false
production_routed	false
source_inventory	unavailable; zero-anchor census complete but source-only function count unknown
