stock_start	stock_end_exclusive	path_anchored	ghidra_discovered
0x00545588	0x00545594	no	yes
0x00545594	0x005455C6	no	yes
0x005455C6	0x005455E4	no	yes
0x005455E4	0x0054566C	yes	yes
0x0054566C	0x005456D6	no	no
0x005456D6	0x005456F6	no	yes
0x005456F6	0x00545868	yes	yes
0x00545868	0x005458A2	no	yes
0x005458A2	0x00545C5A	yes	yes
0x00545C5A	0x00545CAA	yes	yes
0x00545D18	0x005464A4	yes	yes
0x005464B8	0x00546608	no	yes
0x00546620	0x005467D6	no	no
0x0054692C	0x005476D8	no	no
0x005476E4	0x00547786	no	no
0x005477AC	0x00547868	no	no
0x0054787C	0x005479B4	no	no
0x005479C8	0x00547A72	no	no
0x00547ABC	0x00547AD2	no	no
0x00547AD2	0x00547DBC	yes	yes
0x00547DCC	0x00547EBC	yes	yes
0x00547EC8	0x00547FDA	no	no
0x00548014	0x00548296	no	no
0x005482C4	0x00548474	no	no
0x00548484	0x0054853A	no	no
0x0054853A	0x00548542	no	yes
0x00548542	0x0054854A	no	yes
0x005485C4	0x00548B3A	no	no
0x00548B98	0x00548F24	yes	yes
0x00548F80	0x00549596	no	no
0x005495A8	0x005496D0	no	no
0x00549708	0x00549978	no	no
0x00549994	0x00549B6C	no	no
0x00549C24	0x0054C246	no	no
0x0054C268	0x0054C3BE	no	no
0x0054C3EC	0x0054C3F2	no	no
0x0054C3F2	0x0054C576	yes	yes
0x0054C5B0	0x0054C7F4	no	no
0x0054C83C	0x0054C844	no	no
0x0054C844	0x0054CB56	yes	yes
0x0054CB56	0x0054CB58	no	no
0x0054CB58	0x0054CBAA	no	no
0x0054CBAA	0x0054CC00	no	yes
0x0054CC00	0x0054CC8E	yes	yes
0x0054CCD4	0x0054CEAA	yes	yes
0x0054CEBC	0x0054CEC6	no	no
0x0054CEC6	0x0054CECE	no	no
0x0054CECE	0x0054CF2C	no	yes
0x0054CFD0	0x0054D92C	yes	yes
0x0054D948	0x0054D97C	no	yes
0x0054D9A4	0x0054DABC	no	yes
0x0054DAD8	0x0054DAEA	no	yes
0x0054DAEA	0x0054DAF4	no	yes
0x0054DAF4	0x0054DB1E	no	yes
0x0054DB30	0x0054DBFC	no	yes
0x0054DC24	0x0054DD80	yes	yes
0x0054DD9C	0x0054DFAA	no	no
0x0054DFB4	0x0054E19A	yes	yes
0x0054E1A8	0x0054E440	yes	yes
0x0054E44C	0x0054E5D8	no	no
0x0054E660	0x0054ED36	no	no
