metric	value
retained_path	driver\npmx_driver_transplant\src\npmx_main_driver.c
linked_functions	30
ghidra_discovered_functions	11
additional_recovered_functions	19
path_anchored_functions	11
body_bytes	6560
body_concat_sha256	3d0d625389b666d0678a9647142cc51f73b6f26c399cc1fbc4e1b1aeaad3c0ff
physical_interval	[0x00511002,0x00512BC0)
physical_bytes	7102
physical_sha256	a6e4c6d368d0ebd48f6821294b2f9d78462eb3b90748208ea2462c8623145895
noncode_bytes	542
noncode_concat_sha256	3325b2eb4885a20a237f59bd0576e7fec09f83f93db2a397fb380672ebd7091a
reachable_instructions	2281
reachable_instruction_digest	81fcc262dfa069906928f1f3f4ef707efc68321f2c28ac3a34942237d2d4d009
direct_bl_entry_sites	35
direct_bl_entry_digest	a5efc970e0e2997689a519b20efdde5cd387fa2d2325e7c55cf0ee59cf82991b
stored_function_entry_pointers	4
stored_function_entry_digest	7829c00b620924b84e4b009b62dd44e8607393a7558fd803244d8225f725513a
direct_body_calls	420
internal_direct_body_calls	17
external_direct_body_calls	403
direct_body_call_digest	0dc9f28689a382fac9d1031aafa4e0b2f31b3c2c58d59f226d31a768b2780783
indirect_body_calls	0
strict_interior_ingress	0
path_literal_references	62
path_literal_reference_digest	73b32a95bf79d4ab8e43c9ec5b6666f4d46bf41776fa38f45905966c5e1ad6bf
npmx_public_candidate	e1aaec53f456887a7d7b80d82f684d1ac3cb08c8
npmx_describe	v1.0.1-1-ge1aaec5
third_party_dependency	Nordic nPMX EasyLogger CMSIS-FreeRTOS bounded IAR DLIB and first-party I2C orientation power-policy providers
private_producing_commit_observable	false
production_routed	false
