metric	value
linked_functions	3
source_only_functions	0
body_bytes	110
body_concat_sha256	54c2a7586a070563f062b418177500ac9af47f88e334029e28ef0ac262f57ba7
physical_interval	[0x005D9ED0,0x005D9F48)
physical_bytes	120
physical_sha256	624d7bfd338051fe5493107be887f052c41475e1b32f8aeac148889f046ad4f7
owned_literal_bytes	10
owned_literal_sha256	617cbc7f0bb3e6341d8ff380ad27541232dbce341759c7035bf29db31bf16646
direct_bl_entry_sites	2
direct_bl_entry_digest	5b6d2bbece6567d00f496990c2d8beb26e117874402316830d7f3c15ce30fc20
stored_entry_pointers	2
stored_entry_pointer_digest	6ef43356215e14e3046901563adae56dbadb108ff19aebbf082068fbd67d84db
direct_body_call_sites	6
direct_body_call_digest	9b4879ab60d119706b1d8871b8f5bc964b25963d37960409215fd39f2f452def
stored_strict_interior_pointers	0
direct_bl_strict_interior_targets	0
retained_path	none
record_address	0x200038D4
record_bytes	4
boot_record_hex	01200000
initialized_crc16_ccitt_false	0x0A5C
