metric	value
linked_functions	5
source_only_functions	0
body_bytes	188
body_concat_sha256	70118688652fb4a53ee42a522f5df58b6defcba717b99cd8bd420b305bcb95e3
physical_interval	[0x0058F9D4,0x0058FAAC)
physical_bytes	216
physical_sha256	d6b02b1bed7012f6c8288b83f106454d7a992acba1f92fa10e390f82fe0b0e8b
owned_literal_bytes	28
owned_literal_sha256	6443889744e2a855e5d4181e761f4876ea417c9d1e871a73a221a3462b59043c
direct_bl_entry_sites	5
direct_bl_entry_digest	a18689271e13a5e555481245669abc5a0438e639d07fb424ef017e0349bc286c
stored_entry_pointers	2
stored_entry_pointer_digest	6b91b6a1c04f563f6e29fb31b3154f5c723fa58982e60bd4ac0fc4d806c07763
direct_body_call_sites	11
direct_body_call_digest	7db171d936c3ccbc3ff3c6cae8f945fdd2cbe834258fad0d0b63665baf3f6a50
stored_strict_interior_pointers	0
direct_bl_strict_interior_targets	0
retained_path	D:\01_workspace\s200_ap510b_iar_git\platform\service\flashDB\NV\service_nvdb_buzzer.c
record_address	0x200038D8
record_bytes	12
boot_record_hex	02000000a00f00001e000000
initialized_crc16_ccitt_false	0x9B1E
